,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[34.192439862542955, 44.822309131100155]","[62.34413965087282, 44.41531200839014]","[35.73667711598746, 57.11592836946278]","[41.013824884792626, 59.017857142857146]","[57.32028603688371, 55.65116437888411]"
1,"[34.8458904109589, 44.54653734898758]","[62.42937853107344, 45.34288638689867]","[25.0, 59.959037378392225]","[36.809815950920246, 59.95423340961098]","[50.492845786963436, 56.26280466266337]"
2,"[36.70781893004115, 44.236706689536874]","[62.86407766990292, 44.19831223628692]","[30.89005235602094, 58.28071879553182]","[39.953271028037385, 59.43900267141585]","[55.75692963752665, 55.646831423443324]"
3,"[33.82480485689506, 44.70468431771894]","[62.28070175438597, 45.625635808748726]","[28.436018957345972, 59.03912828132739]","[40.31531531531532, 59.0134529147982]","[54.0837336993823, 56.075351035729184]"
4,"[33.45421577515866, 46.028273308650284]","[61.933534743202415, 46.02933737986849]","[35.670731707317074, 56.88594415522953]","[42.737430167597765, 56.60621761658031]","[59.94375251104861, 55.2562284788333]"
5,"[35.990338164251206, 45.3730828881613]","[61.53846153846154, 43.04347826086957]","[24.302788844621514, 60.49510056730273]","[33.78119001919386, 61.86716209939619]","[48.43035659859799, 56.87281546472644]"
mean,"[34.835917999974654, 44.951932280692525]","[62.23171564798319, 44.775827013510415]","[30.006044830215497, 58.62930959120774]","[39.10180789430953, 59.31632097577645]","[54.33798404506712, 55.96086590737996]"
