,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[25.42955326460481, 42.76483591225982]","[52.119700748129674, 43.36654431043524]","[50.15673981191222, 55.183788878416586]","[39.40092165898618, 58.70535714285714]","[60.97101994730899, 53.89605955063853]"
1,"[25.256849315068493, 42.82797345584482]","[53.954802259887, 42.988741044012286]","[33.40163934426229, 59.754224270353305]","[34.96932515337423, 60.18306636155606]","[53.163751987281394, 55.309078064288244]"
2,"[27.48971193415638, 42.504288164665525]","[53.15533980582524, 42.563291139240505]","[42.14659685863874, 56.33802816901409]","[39.25233644859813, 58.94924309884239]","[58.7775408670931, 54.473284550600575]"
3,"[24.978317432784042, 42.92260692464359]","[52.63157894736842, 43.743641912512714]","[38.15165876777251, 57.999009410599314]","[38.73873873873874, 58.654708520179376]","[57.137954701441316, 54.678159321562624]"
4,"[25.385312783318227, 43.6553349040727]","[51.963746223564954, 44.15781487101669]","[48.47560975609756, 55.418835778513966]","[39.385474860335194, 56.69257340241797]","[63.11771795901968, 53.81810816285193]"
5,"[27.375201288244767, 42.40909874202998]","[56.837606837606835, 40.0]","[33.66533864541832, 58.48375451263538]","[33.589251439539346, 59.45192754296331]","[51.29533678756477, 55.282117126756546]"
mean,"[25.985824336362786, 42.847356350586075]","[53.443795803730346, 42.803338879536234]","[40.999597197350276, 57.19627350325543]","[37.556008049928636, 58.772812678136034]","[57.41055370828488, 54.576134462783074]"
