,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.17857142857142858, 0.015189873417721518]","[0.52631578947368418, 0.17098445595854922]","[0.78688524590163933, 0.046728971962616821]","[0.47499999999999998, 0.061538461538461542]","[0.31481481481481483, 0.046575342465753428]"
1,"[0.27848101265822783, 0.034982935153583618]","[0.56976744186046513, 0.098404255319148939]","[0.084210526315789472, 0.16243654822335024]","[0.11458333333333333, 0.070615034168564919]","[0.1273006134969325, 0.076210826210826213]"
2,"[0.040816326530612242, 0.071305841924398622]","[0.28000000000000003, 0.1731266149870801]","[0.51162790697674421, 0.086848635235732011]","[0.36842105263157893, 0.061002178649237473]","[0.25891181988742962, 0.036556200888281515]"
3,"[0.18777292576419213, 0.032203389830508473]","[0.80281690140845074, 0.033248081841432228]","[0.35294117647058826, 0.044554455445544552]","[0.6179775280898876, 0.07623318385650224]","[0.33774834437086093, 0.026960784313725492]"
4,"[0.23999999999999999, 0.025337837837837839]","[0.71641791044776115, 0.035443037974683546]","[0.88888888888888884, 0.021582733812949641]","[0.65217391304347827, 0.027896995708154508]","[0.29880478087649404, 0.027383367139959432]"
5,"[0.14056224899598393, 0.032758620689655175]","[0.21839080459770116, 0.098666666666666666]","[0.055555555555555552, 0.13283208020050125]","[0.032000000000000001, 0.11463414634146342]","[0.079491255961844198, 0.063581773225008825]"
mean,"[0.17770065708674077, 0.035296416475617536]","[0.51895147463134372, 0.10164551879126012]","[0.44668488335153428, 0.08249723748011574]","[0.37669263784971302, 0.068653333377064016]","[0.236178604901396, 0.046211382373925823]"
