,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.3125, 0.033755274261603373]","[0.61842105263157898, 0.13471502590673576]","[0.80327868852459017, 0.065420560747663545]","[0.4375, 0.072527472527472533]","[0.32407407407407407, 0.04965753424657534]"
1,"[0.31223628691983124, 0.058020477815699661]","[0.81395348837209303, 0.050531914893617018]","[0.094736842105263161, 0.10152284263959391]","[0.16666666666666666, 0.047835990888382689]","[0.14263803680981596, 0.070512820512820512]"
2,"[0.057142857142857141, 0.081615120274914091]","[0.32000000000000001, 0.21705426356589147]","[0.58139534883720934, 0.10669975186104218]","[0.43421052631578949, 0.06535947712418301]","[0.26829268292682928, 0.036556200888281515]"
3,"[0.1965065502183406, 0.055932203389830508]","[0.61971830985915488, 0.058823529411764705]","[0.4823529411764706, 0.059405940594059403]","[0.42696629213483145, 0.11210762331838565]","[0.30463576158940397, 0.036414565826330535]"
4,"[0.33777777777777779, 0.030405405405405407]","[0.74626865671641796, 0.04810126582278481]","[0.80555555555555558, 0.050359712230215826]","[0.78260869565217395, 0.030042918454935622]","[0.38645418326693226, 0.02231237322515213]"
5,"[0.20481927710843373, 0.021551724137931036]","[0.25287356321839083, 0.16]","[0.1111111111111111, 0.15288220551378445]","[0.112, 0.1024390243902439]","[0.07472178060413355, 0.076298127870010599]"
mean,"[0.2368304581945401, 0.046880034214230683]","[0.56187251179960584, 0.11153766660013231]","[0.47973841455170002, 0.089381835597726556]","[0.39332536346157693, 0.071718751117267235]","[0.2501360865451982, 0.04862527042819511]"
