,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[33.76288659793815, 49.75344329195715]","[51.87032418952619, 49.55427372836916]","[70.53291536050156, 55.41941564561734]","[41.013824884792626, 58.48214285714286]","[70.60594655626646, 53.069726149013185]"
1,"[33.9041095890411, 49.838352901140034]","[50.282485875706215, 49.33469805527124]","[58.40163934426229, 57.245263696876606]","[40.899795501022496, 57.43707093821511]","[63.688394276629566, 54.2917696926881]"
2,"[35.88477366255144, 49.62264150943396]","[52.42718446601942, 49.31434599156118]","[65.70680628272252, 56.33802816901409]","[40.887850467289724, 57.52448797862867]","[68.1592039800995, 53.41709236504211]"
3,"[32.95750216825672, 50.01697216564833]","[52.92397660818714, 49.1353001017294]","[61.37440758293838, 58.246656760772666]","[42.34234234234234, 58.07174887892377]","[67.02127659574468, 53.66328374808842]"
4,"[32.910244786944695, 50.25244025580613]","[52.26586102719033, 50.27819929185635]","[69.20731707317073, 56.50733554188358]","[41.340782122905026, 57.55613126079447]","[72.55926074728806, 53.70332860711633]"
5,"[36.151368760064415, 49.99138376701706]","[54.48717948717948, 49.23913043478261]","[57.56972111553785, 57.14285714285714]","[38.963531669865645, 58.70877844867627]","[62.389515391648885, 54.61159854483202]"
mean,"[34.26181426079942, 49.912538981833784]","[52.37616860896813, 49.47599126726166]","[63.79880112652222, 56.81659282617022]","[40.90802116470297, 57.96339339373018]","[67.40393292461286, 53.792799851130034]"
