,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.0089285714285714281, 0.0033755274261603376]","[0.10526315789473684, 0.0051813471502590676]","[0.032786885245901641, 0.0]","[0.0, 0.0]","[0.0074074074074074077, 0.00034246575342465754]"
1,"[0.012658227848101266, 0.0017064846416382253]","[0.093023255813953487, 0.0053191489361702126]","[0.0, 0.0025380710659898475]","[0.010416666666666666, 0.0045558086560364463]","[0.0015337423312883436, 0.00071225071225071229]"
2,"[0.028571428571428571, 0.0060137457044673543]","[0.10666666666666667, 0.018087855297157621]","[0.011627906976744186, 0.0]","[0.092105263157894732, 0.0043572984749455342]","[0.01125703564727955, 0.0013665869490946361]"
3,"[0.017467248908296942, 0.005084745762711864]","[0.028169014084507043, 0.0076726342710997444]","[0.035294117647058823, 0.0074257425742574254]","[0.011235955056179775, 0.0]","[0.0016556291390728477, 0.0010504201680672268]"
4,"[0.013333333333333334, 0.0033783783783783786]","[0.0, 0.012658227848101266]","[0.041666666666666664, 0.0]","[0.057971014492753624, 0.010729613733905579]","[0.0039840637450199202, 0.00033806626098715348]"
5,"[0.028112449799196786, 0.0025862068965517241]","[0.0, 0.018666666666666668]","[0.0, 0.012531328320802004]","[0.0, 0.0097560975609756097]","[0.0031796502384737681, 0.0017661603673613563]"
mean,"[0.01817854331482139, 0.0036908481349846472]","[0.055520349076644014, 0.011264313361575762]","[0.020229262756061888, 0.0037491903268415464]","[0.028621483228915803, 0.0048998030709771949]","[0.0048362547514236394, 0.00092932503519762373]"
