,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[30.15463917525773, 47.30488012242816]","[49.37655860349127, 49.60671211326691]","[70.84639498432603, 55.560791705937795]","[44.47004608294931, 56.74107142857143]","[70.79412871659767, 52.90582530902137]"
1,"[30.39383561643836, 47.69440190573422]","[47.175141242937855, 48.72057318321392]","[57.99180327868852, 56.528417818740394]","[43.76278118609407, 56.0183066361556]","[63.2114467408585, 54.263511126810315]"
2,"[30.864197530864196, 47.56432246998285]","[51.69902912621359, 47.36286919831223]","[65.18324607329843, 56.240893637688195]","[44.85981308411215, 56.767586821015136]","[68.12366737739872, 53.720833908601406]"
3,"[29.141370338248045, 48.014256619144604]","[49.41520467836257, 47.35503560528993]","[62.08530805687204, 58.39524517087668]","[45.72072072072072, 57.13004484304933]","[66.7124227865477, 53.628527735298206]"
4,"[29.73708068902992, 48.03096600471222]","[49.546827794561935, 49.11482043500253]","[71.64634146341463, 55.229531471840986]","[44.97206703910614, 56.90846286701209]","[72.92085174768982, 53.37924515562757]"
5,"[30.917874396135264, 48.14750990866793]","[52.35042735042735, 48.31521739130435]","[56.77290836653387, 56.111397627643115]","[41.45873320537428, 56.386437529029266]","[62.75525754343189, 53.905414080890225]"
mean,"[30.201499624328918, 47.792722838445]","[49.92719813266576, 48.412537987731646]","[64.08766703718892, 56.34437957212119]","[44.20736021972612, 56.65865168747214]","[67.41962915208738, 53.633892886041515]"
