,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.026785714285714284, 0.0025316455696202532]","[0.13157894736842105, 0.0025906735751295338]","[0.032786885245901641, 0.0]","[0.025000000000000001, 0.0]","[0.0055555555555555558, 0.00068493150684931507]"
1,"[0.029535864978902954, 0.0034129692832764505]","[0.093023255813953487, 0.010638297872340425]","[0.021052631578947368, 0.0025380710659898475]","[0.0, 0.0045558086560364463]","[0.0030674846625766872, 0.0010683760683760685]"
2,"[0.028571428571428571, 0.012886597938144329]","[0.14666666666666667, 0.036175710594315243]","[0.011627906976744186, 0.0]","[0.092105263157894732, 0.0021786492374727671]","[0.016885553470919325, 0.0027331738981892723]"
3,"[0.021834061135371178, 0.005084745762711864]","[0.028169014084507043, 0.0076726342710997444]","[0.035294117647058823, 0.024752475247524754]","[0.02247191011235955, 0.0]","[0.0016556291390728477, 0.00035014005602240897]"
4,"[0.017777777777777778, 0.0042229729729729732]","[0.044776119402985072, 0.015189873417721518]","[0.069444444444444448, 0.0]","[0.043478260869565216, 0.0042918454935622317]","[0.0099601593625498006, 0.0016903313049357674]"
5,"[0.024096385542168676, 0.0017241379310344827]","[0.022988505747126436, 0.021333333333333333]","[0.022222222222222223, 0.010025062656641603]","[0.0, 0.021951219512195121]","[0.0031796502384737681, 0.0010596962204168139]"
mean,"[0.024766872048560571, 0.0049771782429600588]","[0.077867084847276627, 0.0156000871773233]","[0.032071368019219788, 0.0062192681616927009]","[0.030509239023303252, 0.005496253816544428]","[0.0067173387381913308, 0.0012644415091316076]"
