,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[31.615120274914087, 44.02312531882333]","[52.867830423940156, 43.68117461982171]","[51.09717868338558, 54.66540999057493]","[39.40092165898618, 58.88392857142857]","[60.33120060218291, 54.394591272280266]"
1,"[31.67808219178082, 44.308320571720266]","[51.69491525423729, 43.85875127942682]","[34.63114754098361, 59.088581669226826]","[37.423312883435585, 58.58123569794051]","[52.71860095389507, 55.457435535146594]"
2,"[33.827160493827165, 43.63636363636363]","[52.9126213592233, 43.40717299578059]","[42.40837696335078, 56.969402622632344]","[40.887850467289724, 57.925200356188775]","[58.56432125088842, 54.576832804086706]"
3,"[31.656548135299218, 43.73727087576375]","[51.16959064327485, 44.96439471007121]","[40.047393364928915, 56.315007429420504]","[39.63963963963964, 58.52017937219731]","[56.58888126286891, 54.99096343667455]"
4,"[32.45693563009973, 44.21070346684618]","[50.453172205438065, 45.82701062215478]","[49.69512195121951, 55.087553241836254]","[40.78212290502793, 56.865284974093264]","[62.354359180393736, 54.53379245155627]"
5,"[33.81642512077295, 44.45976219196967]","[55.34188034188035, 42.71739130434782]","[34.06374501992032, 58.329035585353274]","[33.78119001919386, 60.195076637250345]","[50.655288021944536, 55.79570582780512]"
mean,"[32.50837864111566, 44.06259101024781]","[52.40666837133234, 44.07598258860049]","[41.99049392063145, 56.74249842317402]","[38.65250626226216, 58.49515093484979]","[56.868775212028936, 54.95822022125825]"
