,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.19196428571428573, 0.029535864978902954]","[0.61842105263157898, 0.098445595854922283]","[0.57377049180327866, 0.025700934579439252]","[0.41249999999999998, 0.059340659340659338]","[0.24259259259259258, 0.036986301369863014]"
1,"[0.27848101265822783, 0.034129692832764506]","[0.59302325581395354, 0.085106382978723402]","[0.094736842105263161, 0.11928934010152284]","[0.16666666666666666, 0.059225512528473807]","[0.10736196319018405, 0.064814814814814811]"
2,"[0.057142857142857141, 0.065292096219931275]","[0.22666666666666666, 0.23255813953488372]","[0.44186046511627908, 0.064516129032258063]","[0.38157894736842107, 0.078431372549019607]","[0.24390243902439024, 0.02425691834642979]"
3,"[0.20087336244541484, 0.036440677966101696]","[0.77464788732394363, 0.056265984654731455]","[0.28235294117647058, 0.059405940594059403]","[0.4943820224719101, 0.07847533632286996]","[0.30960264900662254, 0.027661064425770307]"
4,"[0.26666666666666666, 0.021114864864864864]","[0.70149253731343286, 0.045569620253164557]","[0.81944444444444442, 0.03117505995203837]","[0.62318840579710144, 0.019313304721030045]","[0.29681274900398408, 0.017579445571331981]"
5,"[0.11244979919678715, 0.032758620689655175]","[0.18390804597701149, 0.087999999999999995]","[0.088888888888888892, 0.13032581453634084]","[0.032000000000000001, 0.087804878048780483]","[0.062003179650238473, 0.075591663723066055]"
mean,"[0.18459633063737324, 0.036545302925370081]","[0.51635990762109785, 0.10099095387940422]","[0.38350901225577078, 0.07173553646594312]","[0.35171934038401659, 0.063765177251805541]","[0.21037926207800198, 0.041148368041879324]"
