99,96;99,84;88,47;99,97;97,76;87,64;99,56;98,83;97,47;96,69;98,66;99,87;99,68;99,97;86,63;98,73
99,96;99,78;90,71;99,97;97,73;88,24;99,51;99,15;97,42;97,5;99,29;99,94;99,72;100;86,79;99,87
100;99,78;89,2;99,99;96,23;90,31;99,19;99,65;97,56;98,42;98,66;99,91;99,78;99,97;86,66;98,74
99,97;99,99;90,39;99,99;98,47;87,96;99,38;99,76;97,71;98,24;98,66;99,88;99,72;99,97;87,89;99
99,97;99,88;88,83;99,97;97,96;87,11;99,68;99,83;96,87;97,96;98,57;99,94;99,72;99,97;87,45;98,62
99,972;99,854;89,52;99,978;97,63;88,252;99,464;99,444;97,406;97,762;98,768;99,908;99,724;99,976;87,084;98,992
0,016;0,087;0,982;0,011;0,837;1,225;0,187;0,434;0,319;0,693;0,294;0,033;0,036;0,013;0,560;0,510
