99,39;99,38;92,53;90,68;84,36;81,51;73,27;82,37;99,94;90,96;85,79;99,59;86,73;84,15;99,88;93,15;83,62;99,89;93,8;80,22;81,32;93,62;80,05;93,46;96,78;79,96;99,85;97,72;95,81;86,29;91,15;86,78;97,8;77,21;80,68;86,68;93,42;89,85;83,12;85,42;94,51;84,03;82,66;94,04;90,13;88,94;94,21;89,35;83,7;88,83;98,23;93,92;87,11;94,86;87,36;98,42
99,47;99,08;93,31;91,12;84,44;81,45;73,25;82,3;99,94;90,37;85,32;99,93;87;83,73;99,84;93,21;83,5;99,78;92,97;81,06;81,61;93,79;79,91;93,1;96,9;79,81;99,92;98,47;95,89;86,79;91,43;86,83;97,59;77,95;81,41;85,98;93,09;89,4;83,55;84,18;94,45;84,3;83,12;93,18;89,78;89,58;93,77;90,13;84,89;88,23;98,16;94,22;86,92;94,96;87,57;98,52
99,46;99,36;92,2;90,98;84,47;81,65;73,26;83,01;99,95;90,86;85,89;99,61;86,57;83,55;99,83;92,82;83,14;99,78;93,45;80,77;81,3;93,44;79,84;93,76;96,59;80,92;99,86;97,24;96;86,02;91,38;86,43;97,64;76,99;79,99;85,49;93,89;89,73;83,34;84,05;93,99;83,74;84,87;94,71;90,7;89,25;93,58;89,4;86,08;88,71;98,07;94,33;87,05;94,98;87,31;98,51
99,42;98,81;93,32;91,43;84,87;82,07;73,47;82,55;99,95;90,7;85,96;99,65;86,88;83,78;99,83;92,81;83,59;99,81;93,49;82,33;82,13;93,57;79,26;93,52;96,61;80,1;99,87;97,93;95,73;86,39;91,25;86,8;97,53;77,38;80,94;86,21;93,89;88,29;84,47;85,02;94,43;83,91;84,08;93,2;90,28;89,58;93,96;89,36;84,78;88,41;98,15;94,12;87,74;94,19;89,2;98,56
99,36;99,27;92,56;91,13;84,3;81,42;73,11;81,53;99,94;90,02;85,85;99,64;86,75;84,54;99,83;92,52;83,42;99,8;93,02;80,56;82,79;93,72;80,88;93,84;96,79;79,98;99,91;97,98;95,84;86,03;91,28;87,61;97,45;77,83;80,76;86,4;93,93;89,65;84,01;84,45;94,51;83,43;83,48;93,52;90,4;89,33;93,83;89,73;84,97;88,7;98,12;94,16;87,04;94,4;87,51;98,84
99,42;99,18;92,784;91,068;84,488;81,62;73,272;82,352;99,944;90,582;85,762;99,684;86,786;83,95;99,842;92,902;83,454;99,812;93,346;80,988;81,83;93,628;79,988;93,536;96,734;80,154;99,882;97,868;95,854;86,304;91,298;86,89;97,602;77,472;80,756;86,152;93,644;89,384;83,698;84,624;94,378;83,882;83,642;93,73;90,258;89,336;93,87;89,594;84,884;88,576;98,146;94,15;87,172;94,678;87,79;98,57
0,046;0,238;0,505;0,272;0,224;0,267;0,129;0,536;0,005;0,386;0,255;0,140;0,163;0,395;0,022;0,282;0,192;0,045;0,348;0,810;0,633;0,136;0,583;0,291;0,131;0,440;0,031;0,446;0,100;0,316;0,110;0,434;0,131;0,408;0,513;0,450;0,374;0,633;0,543;0,580;0,220;0,325;0,861;0,649;0,339;0,266;0,234;0,338;0,844;0,248;0,059;0,151;0,325;0,360;0,795;0,159
