2018-04-16 19:33:50


RESULTS FOR USER: 1
k-fold: 1
FRR: 0.15873
FAR: 0.09382
k-fold: 2
FRR: 0.46032
FAR: 0.06709
k-fold: 3
FRR: 0.19048
FAR: 0.08597
k-fold: 4
FRR: 0.06452
FAR: 0.09979
k-fold: 5
FRR: 0.00000
FAR: 0.10161
RESULTS FOR USER: 2
k-fold: 1
FRR: 0.10000
FAR: 0.14116
k-fold: 2
FRR: 0.20144
FAR: 0.12662
k-fold: 3
FRR: 0.10072
FAR: 0.14339
k-fold: 4
FRR: 0.12950
FAR: 0.13625
k-fold: 5
FRR: 0.67626
FAR: 0.11338
RESULTS FOR USER: 3
k-fold: 1
FRR: 0.13095
FAR: 0.13374
k-fold: 2
FRR: 0.19643
FAR: 0.12790
k-fold: 3
FRR: 0.10746
FAR: 0.13766
k-fold: 4
FRR: 0.20000
FAR: 0.12741
k-fold: 5
FRR: 0.03582
FAR: 0.14229
RESULTS FOR USER: 4
k-fold: 1
FRR: 0.07877
FAR: 0.06821
k-fold: 2
FRR: 0.08772
FAR: 0.06886
k-fold: 3
FRR: 0.28070
FAR: 0.06395
k-fold: 4
FRR: 0.13596
FAR: 0.06588
k-fold: 5
FRR: 0.08333
FAR: 0.06799
RESULTS FOR USER: 5
k-fold: 1
FRR: 0.09440
FAR: 0.05164
k-fold: 2
FRR: 0.09674
FAR: 0.05113
k-fold: 3
FRR: 0.08369
FAR: 0.05146
k-fold: 4
FRR: 0.10710
FAR: 0.05046
k-fold: 5
FRR: 0.20537
FAR: 0.04562
RESULTS FOR USER: 6
k-fold: 1
FRR: 0.09993
FAR: 0.11368
k-fold: 2
FRR: 0.11571
FAR: 0.11479
k-fold: 3
FRR: 0.07854
FAR: 0.11856
k-fold: 4
FRR: 0.12553
FAR: 0.11770
k-fold: 5
FRR: 0.14241
FAR: 0.11516
RESULTS FOR USER: 7
k-fold: 1
FRR: 0.08289
FAR: 0.08987
k-fold: 2
FRR: 0.10364
FAR: 0.08917
k-fold: 3
FRR: 0.10584
FAR: 0.08856
k-fold: 4
FRR: 0.14196
FAR: 0.08641
k-fold: 5
FRR: 0.12626
FAR: 0.09027
RESULTS FOR USER: 8
k-fold: 1
FRR: 0.17407
FAR: 0.10776
k-fold: 2
FRR: 0.10388
FAR: 0.11100
k-fold: 3
FRR: 0.07959
FAR: 0.11423
k-fold: 4
FRR: 0.11421
FAR: 0.10805
k-fold: 5
FRR: 0.23669
FAR: 0.09655
RESULTS FOR USER: 9
k-fold: 1
FRR: 0.17857
FAR: 0.04253
k-fold: 2
FRR: 0.44444
FAR: 0.02932
k-fold: 3
FRR: 0.29630
FAR: 0.04103
k-fold: 4
FRR: 0.14815
FAR: 0.04184
k-fold: 5
FRR: 0.70370
FAR: 0.03174
RESULTS FOR USER: 10
k-fold: 1
FRR: 0.35112
FAR: 0.08799
k-fold: 2
FRR: 0.13854
FAR: 0.09120
k-fold: 3
FRR: 0.06889
FAR: 0.09338
k-fold: 4
FRR: 0.11300
FAR: 0.09004
k-fold: 5
FRR: 0.13313
FAR: 0.08938
RESULTS FOR USER: 11
k-fold: 1
FRR: 0.14973
FAR: 0.04085
k-fold: 2
