1 1:-0.0477784462273 2:-0.0924759805202 3:-0.18510375917 4:0.0267397705466 5:0.0559000261128 6:-0.0944687798619 7:-0.21196937561 8:-0.118608057499 9:0.0506421327591 10:0.0648693591356 11:-0.0252802446485 12:0.0355917811394 13:-0.052494212985 14:0.239120334387 15:0.034448698163 16:-0.023075774312 17:0.00221098447219 18:0.103973254561 19:-0.00620797881857 20:-0.0839115008712 21:-0.0135551337153 22:0.0564804412425 23:0.0175356213003 24:0.0454694032669 25:-0.103313736618 26:0.153814822435 27:-0.0833002105355 28:0.136647433043 29:0.0544509775937 30:0.0848766714334 31:-0.0127104111016 32:0.217746764421 33:0.0373686477542 34:-0.00357538089156 35:0.0727805346251 36:0.104465529323 37:-0.113946758211 38:0.0474416725338 39:-0.00626086583361 40:-0.020688008517 41:-0.0565920099616 42:0.0163069963455 43:-0.118843212724 44:-0.109543427825 45:-0.0351922214031 46:0.0470158457756 47:-0.0512148141861 48:-0.0774428471923 49:0.111235298216 50:0.0069127054885 51:0.089264780283 52:-0.127579584718 53:0.00135617703199 54:-0.0466346293688 55:0.0121415229514 56:-0.0761567279696 57:-0.0348571687937 
1 1:0.124554745853 2:-0.0985624343157 3:0.0226919129491 4:-0.121188610792 5:0.0650208219886 6:-0.0330614261329 7:-0.00781295448542 8:0.0924191772938 9:0.18965087831 10:-0.026817586273 11:-0.0717490836978 12:-0.112166337669 13:-0.0823756083846 14:-0.0870145559311 15:-0.163180232048 16:0.0287270098925 17:-0.0283413268626 18:0.0309024117887 19:-0.0382561944425 20:-0.00286729633808 21:0.0149725507945 22:0.019784566015 23:0.0808452889323 24:0.0981999635696 25:0.136045858264 26:0.101485960186 27:0.349888294935 28:-0.103618606925 29:-0.180352434516 30:0.141608461738 31:-0.255245804787 32:-0.0555872023106 33:-0.0279856938869 34:0.0198672786355 35:-0.0589934922755 36:0.131493881345 37:0.120058082044 38:-0.150223761797 39:0.0589836649597 40:0.065656080842 41:-0.128996953368 42:-0.0178189557046 43:0.170840159059 44:0.0412102937698 45:0.131857380271 46:0.0496642328799 47:-0.196049571037 48:0.0254532787949 49:0.0952904373407 50:-0.0307430867106 51:-0.0490759238601 52:-0.0449420288205 53:0.0900435075164 54:0.0724384784698 55:0.207638293505 56:0.152348026633 57:-0.073903478682 
1 1:0.0136392526329 2:0.156327813864 3:-0.121712803841 4:0.0925775915384 5:-0.0757359489799 6:-0.135691896081 7:-0.155107140541 8:-0.14408031106 9:0.0195054579526 10:-0.0478295870125 11:-0.01499902457 12:0.0941898971796 13:0.0409036539495 14:0.110647507012 15:0.240005224943 16:-0.068536400795 17:-0.0545233339071 18:0.0467900373042 19:0.0298282466829 20:0.0304269548506 21:-0.0496873483062 22:0.221818685532 23:-0.0251056347042 24:0.0422045215964 25:-0.164883106947 26:0.0815511420369 27:-0.152438133955 28:0.0545500256121 29:0.0823594480753 30:0.119924262166 31:-0.0406789965928 32:0.0946784093976 33:0.04308116436 34:-0.0854157283902 35:0.185621783137 36:-0.0247920062393 37:-0.0496551468968 38:0.134662300348 39:0.177063256502 40:0.146572872996 41:-0.031491111964 42:0.0147259877995 43:-0.26628690958 44:0.0626495182514 45:-0.103710196912 46:-0.0476026721299 47:-0.0577146373689 48:0.0834644138813 49:0.0817829295993 50:0.137342646718 51:0.0345298610628 52:-0.111314825714 53:-0.0917562693357 54:-0.0574092194438 55:0.0151103362441 56:-0.140232786536 57:-0.148359194398 
1 1:0.0643953308463 2:0.00717308372259 3:-0.0138175040483 4:-0.142245620489 5:0.0922283455729 6:0.0284110158682 7:-0.182711198926 8:-0.00359577685595 9:0.0817763060331 10:-0.0300861150026 11:-0.0448598377407 12:0.0143153630197 13:-0.0342251881957 14:-0.0206868983805 15:-0.190413951874 16:-0.0150701375678 17:0.0658755600452 18:0.00787466950715 19:0.0671469569206 20:-0.0390509068966 21:-0.0764742717147 22:0.0320375449955 23:0.10344837606 24:0.0666248872876 25:0.131162375212 26:0.0991386324167 27:0.183792352676 28:-0.0808111801744 29:0.0326045192778 30:0.0728131979704 31:-0.178729638457 32:-0.0710621550679 33:-0.203784152865 34:-0.0344492793083 35:-0.00502854213119 36:0.044902049005 37:0.0623651519418 38:-0.0299570634961 39:-0.0161303803325 40:0.156426519156 41:-0.0181329660118 42:0.00280732288957 43:0.00764470733702 44:0.0189790464938 45:0.025017561391 46:0.0130678908899 47:-0.121194601059 48:0.188763961196 49:0.128102213144 50:-0.0250315349549 51:0.00964811630547 52:-0.000948090106249 53:-0.0270702540874 54:-0.0439616888762 55:0.140703469515 56:0.0592694021761 57:-0.167522892356 
1 1:-0.0461924895644 2:0.0283148065209 3:-0.0671194642782 4:-0.306085944176 5:-0.0141138806939 6:-0.00152276339941 7:-0.23350250721 8:-0.0304441675544 9:0.0343908518553 10:-0.0884397923946 11:-0.040686160326 12:-0.144727438688 13:-0.10982336849 14:0.0157223623246 15:-0.237963855267 16:0.0594657585025 17:-0.00310644041747 18:-0.132879942656 19:-0.0608519092202 20:-0.0912929475307 21:-0.0892750993371 22:0.0117023028433 23:0.0416323319077 24:0.0330769270658 25:0.18452590704 26:0.0299456622452 27:0.0996625199914 28:0.0135123794898 29:0.0403732284904 30:-0.0348466895521 31:-0.0793701559305 32:-0.177820980549 33:-0.182164415717 34:-0.0122611783445 35:-0.0864736437798 36:0.0196220688522 37:0.063216984272 38:0.102750509977 39:-0.0765971168876 40:0.102150559425 41:0.0354062095284 42:0.0352410413325 43:0.0082779917866 44:-0.0870316624641 45:0.0218578483909 46:0.0115320533514 47:0.00696431752294 48:0.288410812616 49:0.0425663143396 50:-0.022257855162 51:-0.0914714410901 52:0.0148890279233 53:-0.059481240809 54:-0.0920891538262 55:0.125613704324 56:-0.014331153594 57:-0.221236661077 
1 1:0.018779758364 2:0.000884413719177 3:0.00400580838323 4:-0.00207584165037 5:0.0231549553573 6:0.0486790835857 7:-0.113265872002 8:-0.0979574024677 9:0.0227962080389 10:0.00121295452118 11:-0.0402719303966 12:-0.00707395747304 13:0.00993619859219 14:-0.00276657566428 15:0.0170956104994 16:-0.0856687575579 17:0.0875538960099 18:0.0909857824445 19:0.0370044820011 20:0.0686120688915 21:-0.0585294142365 22:-0.00785953458399 23:0.039927482605 24:0.0582983866334 25:-0.0043564978987 26:0.0716814622283 27:-0.0546021163464 28:-0.00384888192639 29:0.0326572693884 30:-0.0321188718081 31:-0.0545851811767 32:0.0507199466228 33:0.0290639381856 34:0.00271953269839 35:0.0868286043406 36:0.000532776815817 37:-0.0144023532048 38:0.00598621089011 39:-0.0114455772564 40:-0.0137083251029 41:-0.0873426869512 42:0.00116050429642 43:-0.0569851323962 44:-0.0082335844636 45:-0.0551002696157 46:-0.0175688639283 47:-0.0583047010005 48:-0.0289839226753 49:-0.00794245488942 50:-0.0736418142915 51:0.0033066868782 52:-0.114588551223 53:0.0171497166157 54:-0.0702971592546 55:-0.0640079006553 56:-0.0481046251953 57:-0.0598348006606 
1 1:-0.0251184757799 2:-0.0931072086096 3:-0.116276174784 4:-0.312256902456 5:-0.0702118352056 6:0.0465592518449 7:-0.281552523375 8:-0.0339861176908 9:0.132841259241 10:-0.109727203846 11:-0.0296368971467 12:0.0752967447042 13:-0.0887049213052 14:0.154237896204 15:-0.197207808495 16:0.156089574099 17:0.0179531164467 18:0.0113051868975 19:0.00110943987966 20:0.0736072063446 21:-0.14093875885 22:-0.202461466193 23:-0.0547327175736 24:0.0258171055466 25:0.169310122728 26:-0.0363809540868 27:-0.0697688609362 28:0.030879298225 29:-0.0137859471142 30:0.0347177684307 31:-0.233262747526 32:-0.0259416494519 33:-0.298262000084 34:-0.0467139855027 35:-0.237876564264 36:0.0413438417017 37:0.0277718119323 38:0.0785087198019 39:-0.0493658743799 40:0.0428011342883 41:0.0425507947803 42:-0.0726928114891 43:-0.0432834401727 44:-0.0672741979361 45:0.0456009209156 46:0.0595675520599 47:-0.154365539551 48:0.12695723772 49:0.138637080789 50:-0.015654290095 51:-0.0729141011834 52:0.0126894786954 53:-0.052927814424 54:0.048027202487 55:0.156113103032 56:0.1010370031 57:-0.191076740623 
1 1:0.095588222146 2:0.0482987836003 3:0.013600807637 4:-0.0267950482666 5:0.0354353897274 6:0.0259671229869 7:-0.180745720863 8:-0.149750739336 9:-0.0418937206268 10:0.00806910544634 11:-0.0426656603813 12:-0.0114057119936 13:-0.0345904156566 14:0.0198426749557 15:0.00553571432829 16:-0.0029663965106 17:0.137152001262 18:0.0260283611715 19:0.0997207760811 20:0.0641550049186 21:0.0205778758973 22:-0.0117292059585 23:-0.000672694295645 24:0.10263414681 25:0.0977433845401 26:0.0292239114642 27:-0.101809680462 28:-0.0119497273117 29:0.114240512252 30:0.0270312950015 31:-0.0994494855404 32:-0.0168518386781 33:-0.0132257482037 34:-0.0419869869947 35:0.116651192307 36:-0.0546769462526 37:0.0010342001915 38:0.0257505439222 39:-0.0540560074151 40:-0.0410381555557 41:-0.149740323424 42:0.0548305436969 43:-0.0505399629474 44:0.0169798247516 45:-0.0625781789422 46:0.0127384075895 47:-0.0456807538867 48:0.0773668661714 49:0.0261301863939 50:-0.0818117558956 51:-0.0134725049138 52:-0.17763364315 53:0.0227274838835 54:-0.0509041175246 55:-0.0813142880797 56:-0.0545727871358 57:-0.0236477535218 
1 1:0.0692810118198 2:0.0233727172017 3:-0.00124661251903 4:0.0948651432991 5:-0.158329606056 6:-0.0524442866445 7:-0.0173282343894 8:-0.0119999237359 9:0.119309723377 10:-0.0557519458234 11:-0.0671488940716 12:0.166914775968 13:0.00975400954485 14:0.0800821408629 15:0.312273353338 16:-0.0909515693784 17:-0.0713170915842 18:0.124896742404 19:-0.111301347613 20:-0.09064412117 21:0.141614511609 22:0.137972980738 23:-0.0166756249964 24:-0.00839293934405 25:0.0251718182117 26:0.118108846247 27:-0.0632875189185 28:0.0564922355115 29:-0.017685662955 30:0.0919452607632 31:0.0723273009062 32:0.040780171752 33:-0.0530812367797 34:-0.0243394244462 35:0.134073957801 36:0.025250531733 37:0.0846404656768 38:-0.00804293528199 39:0.00244616437703 40:-0.0134145636111 41:0.129351004958 42:0.0353766381741 43:-0.198250666261 44:-0.0771211534739 45:-0.103772699833 46:0.00533834751695 47:-0.108077086508 48:-0.0290969740599 49:0.00393058173358 50:0.0370107032359 51:-0.0376175716519 52:0.0586500018835 53:0.0310825034976 54:0.0826289206743 55:0.136155381799 56:0.0134857101366 57:-0.160535633564 
1 1:0.044177159667 2:0.0434859246016 3:0.0316324010491 4:0.0200587343425 5:-0.0562674663961 6:-0.0339288860559 7:-0.127692699432 8:-0.13563464582 9:-0.00909012369812 10:0.0158176347613 11:-0.0587161630392 12:-0.0125799681991 13:-0.0647502765059 14:0.0146050043404 15:0.0884483158588 16:-0.0460349880159 17:0.00873339734972 18:0.016505362466 19:0.0154283661395 20:0.0330516286194 21:0.0166796799749 22:0.0871292278171 23:-0.0654544383287 24:0.0587443858385 25:0.0471643358469 26:0.0720485299826 27:-0.0355418622494 28:0.0288928486407 29:0.0768454819918 30:0.0865595340729 31:-0.0208894293755 32:0.0163843575865 33:-0.0364810191095 34:-0.101045481861 35:0.156684949994 36:-0.0144252637401 37:0.041350774467 38:0.0234806835651 39:0.038652356714 40:-0.00422704033554 41:-0.0894272550941 42:0.0615334361792 43:-0.101620972157 44:-0.0136310905218 45:-0.057250700891 46:0.0100700231269 47:-0.0805383399129 48:0.0961576029658 49:0.0123086478561 50:0.0102481301874 51:0.00654194504023 52:-0.104063428938 53:-0.0270067229867 54:-0.0489602088928 55:-0.00780492648482 56:-0.0434052497149 57:-0.0778734758496 
