accx,accy,accz
14.586843,-3.5760984,1.79523
14.586843,-3.5760984,1.79523
14.586843,-3.5760984,1.79523
14.586843,-3.5760984,1.79523
15.212380999999999,-4.820791266666667,1.8462943333333335
15.837919,-6.065484133333334,1.8973586666666666
16.463457000000002,-7.310177,1.948423
16.463457000000002,-7.310177,1.948423
14.800674999999998,-6.9910249,2.1782124666666665
13.137892999999996,-6.6718728,2.408001933333333
11.475110999999993,-6.3527207,2.6377913999999993
11.475110999999993,-6.3527207,2.6377913999999993
11.155958666666661,-5.203773466666667,2.8739639333333327
10.836806333333328,-4.054826233333333,3.1101364666666664
10.517653999999995,-2.905879,3.3463089999999998
10.517653999999995,-2.905879,3.3463089999999998
10.517653999999995,-2.905879,3.3463089999999998
10.01020233333333,-2.0792753166666667,3.2537549
9.502750666666664,-1.2526716333333332,3.1612008
8.995298999999997,-0.42606794999999975,3.0686467000000004
8.998490666666664,-0.4835152999999997,2.8133250333333337
9.00168233333333,-0.5409626499999998,2.5580033666666675
9.004873999999996,-0.5984099999999998,2.302681700000001
9.004873999999996,-0.5984099999999999,2.302681700000001
9.193173666666661,-0.9430941666666666,2.238851333333334
9.381473333333327,-1.2877783333333332,2.175020966666667
9.569772999999993,-1.6324625,2.1111906000000005
9.569772999999993,-1.6324625,2.1111906000000005
9.569772999999993,-1.6324625,2.1111906000000005
9.681475999999995,-1.3548002666666665,2.165446466666667
9.793178999999995,-1.0771380333333331,2.2197023333333328
9.904881999999995,-0.7994757999999997,2.273958199999999
9.917648333333327,-0.6079845899999996,2.3090648666666658
9.930414666666659,-0.41649337999999964,2.344171533333333
9.94318099999999,-0.22500216999999959,2.3792781999999995
9.94318099999999,-0.22500216999999959,2.3792782
9.888925333333322,-0.4962813799999996,2.2739580666666668
9.834669666666654,-0.7675605899999995,2.168637933333333
9.780413999999988,-1.0388397999999996,2.0633178
9.780413999999986,-1.0388397999999996,2.0633178
9.780413999999986,-1.0388397999999996,2.0633178
9.716583499999986,-1.0388397999999996,2.088849966666667
9.652752999999988,-1.0388397999999996,2.114382133333334
9.588922499999988,-1.0388397999999996,2.139914300000001
9.63679533333332,-1.029265233333333,2.1654464666666677
9.684668166666652,-1.0196906666666665,2.190978633333334
9.732540999999983,-1.0101161,2.216510800000001
9.732540999999983,-1.0101161,2.2165108000000013
9.735732333333317,-1.0388397666666664,2.1941702000000016
9.73892366666665,-1.0675634333333333,2.171829600000002
9.742114999999984,-1.0962870999999998,2.149489000000002
9.742114999999984,-1.0962871,2.149489000000002
