1 1:0.104375645518 2:-0.142187610269 3:-0.157451987267 4:-0.0318774096668 5:-0.0699067637324 6:-0.306131243706 7:0.0951566845179 8:-0.0906160771847 9:-0.0259611047804 10:-0.0353656187654 11:0.0644206851721 12:0.0744073092937 13:0.187134683132 14:-0.0963405519724 15:0.00329203531146 16:-0.00916155800223 17:-0.00777943897992 18:-0.0848500132561 19:-0.0357516109943 20:0.10900567472 21:-0.0510371848941 22:-0.0847897306085 23:0.179581433535 24:0.0449556857347 25:0.00171417277306 26:0.0294276066124 27:0.0854536220431 28:0.144447848201 29:0.108155258 30:0.0851508080959 31:0.0754601284862 32:-0.073477126658 33:-0.138969495893 34:0.185457929969 35:0.26159375906 36:0.0740764811635 37:0.0317644402385 38:0.151618272066 39:0.032042298466 40:-0.112848237157 41:0.0573954507709 42:-0.171395614743 43:0.241430535913 44:0.235625103116 45:-0.0970629304647 46:0.198615819216 47:-0.0126848481596 48:-0.0442006587982 49:-0.0401119850576 50:0.0526850111783 51:-0.119579695165 52:0.10503064096 53:-0.0499828271568 54:-0.132035940886 55:0.139978095889 56:-0.0461826920509 57:0.134308978915 
1 1:0.0159021820873 2:-0.00860793143511 3:-0.0124071538448 4:-0.201731741428 5:-0.186169505119 6:-0.329441100359 7:0.135048270226 8:0.0398980863392 9:-0.105571463704 10:-0.117829486728 11:-0.147721678019 12:0.0822379142046 13:0.114164307714 14:-0.461610972881 15:0.273073613644 16:0.335412681103 17:-0.379240602255 18:0.0219548456371 19:0.739379286766 20:0.01670226641 21:0.170963197947 22:-0.242027968168 23:-0.145261019468 24:-0.30924052 25:0.099303856492 26:0.311060518026 27:0.017497273162 28:0.317221224308 29:-0.170307770371 30:0.00991160050035 31:-0.31873434782 32:-0.345469802618 33:-0.180894643068 34:-0.124231502414 35:0.338733434677 36:0.0398613885045 37:0.0916363298893 38:-0.14641302824 39:-0.140433013439 40:-0.268192380667 41:-0.276193320751 42:0.222997501493 43:0.0590344369411 44:0.0818624943495 45:0.204811245203 46:0.0497356280684 47:-0.457026481628 48:0.06704775244 49:0.0949309468269 50:0.412221848965 51:-0.33004462719 52:0.363600313663 53:0.105121582747 54:-0.188539713621 55:0.559853196144 56:0.159404709935 57:0.368395894766 
1 1:0.0861091837287 2:-0.212341547012 3:0.0124013125896 4:-0.19576087594 5:-0.369994580746 6:-0.344796061516 7:-0.139860004187 8:0.0627103298903 9:0.11144772917 10:-0.0154287815094 11:0.187151715159 12:0.224824652076 13:-0.155989602208 14:-0.173273220658 15:0.0625356957316 16:0.0503879375756 17:-0.474478155375 18:0.0324719138443 19:0.49569529295 20:0.0188017841429 21:0.0449853613973 22:-0.0490885078907 23:-0.0990981385112 24:0.0803765505552 25:0.30067896843 26:0.120670363307 27:-0.0635094419122 28:0.0316253453493 29:-0.188966676593 30:-0.0571518689394 31:0.0857515335083 32:-0.0489551089704 33:-0.157173529267 34:0.130786165595 35:0.268477141857 36:0.168224185705 37:0.184671893716 38:0.287758916616 39:0.151275843382 40:0.00168200396001 41:-0.112176328897 42:0.190705493093 43:0.0884553566575 44:-0.061521448195 45:-0.256235003471 46:-0.109939262271 47:-0.477206170559 48:-0.203940689564 49:0.0108887618408 50:-0.166461274028 51:-0.223583176732 52:0.208356812596 53:0.124873220921 54:-0.0257239118218 55:0.293876647949 56:0.00666224956512 57:0.171247929335 
1 1:0.262886703014 2:-0.161830857396 3:-0.171739637852 4:0.0278087034822 5:-0.297930628061 6:-0.301624715328 7:0.285958707333 8:-0.0193513873965 9:0.0168564021587 10:-0.0815323889256 11:0.179131165147 12:0.0371736772358 13:0.312282294035 14:-0.0162539798766 15:-0.0238295085728 16:0.227226525545 17:-0.119284510612 18:0.0576821230352 19:0.0786718204618 20:-0.0793339312077 21:0.0431603044271 22:-0.147409111261 23:0.203039288521 24:0.0628484040499 25:-0.124082624912 26:-0.0436562262475 27:0.0753190070391 28:0.330021053553 29:0.181567177176 30:-0.0034511052072 31:0.0720527768135 32:0.137243717909 33:-0.159654900432 34:-0.0577485002577 35:0.134250059724 36:0.0506098717451 37:0.180298268795 38:-0.161092728376 39:0.0742200240493 40:-0.131640076637 41:-0.116257116199 42:-0.458930402994 43:0.117436170578 44:-0.045904032886 45:-0.324053615332 46:0.212782606483 47:-0.26722240448 48:-0.121598385274 49:-0.0527339167893 50:-0.0675665289164 51:0.00135794375092 52:0.216635450721 53:0.109592676163 54:-0.145111575723 55:0.3001280725 56:-0.191979363561 57:0.239760220051 
1 1:-0.0510342977941 2:-0.226083829999 3:-0.016399718821 4:-0.255500197411 5:-0.20949678123 6:-0.11977866292 7:0.171519190073 8:-0.25910833478 9:0.114385381341 10:-0.0262348093092 11:-0.0367238037288 12:0.293631821871 13:-0.200568720698 14:-0.141240417957 15:0.0392553061247 16:0.199155047536 17:-0.352008491755 18:0.00621662661433 19:0.133965089917 20:0.029509909451 21:-0.03506962955 22:0.00169152021408 23:-0.201674759388 24:-0.171707034111 25:0.0662614256144 26:0.197362408042 27:-0.12107168138 28:-0.0109297567979 29:-0.101373158395 30:-0.159994795918 31:0.221664428711 32:-0.257783144712 33:-0.0600766129792 34:0.0149858891964 35:0.0765650942922 36:0.287926435471 37:0.0564929656684 38:0.0691738277674 39:-0.130672678351 40:-0.18696308136 41:-0.266836464405 42:0.10268355161 43:0.12606279552 44:0.210531532764 45:0.122801676393 46:0.0242569055408 47:-0.128353744745 48:0.120173469186 49:-0.0258032716811 50:0.0615560896695 51:-0.200597375631 52:0.0494802892208 53:0.226742625237 54:0.0657519549131 55:0.326827794313 56:0.00130140036345 57:0.322913765907 
1 1:0.216818153858 2:-0.266916364431 3:0.029922015965 4:-0.110226728022 5:-0.0749127268791 6:-0.0790834128857 7:0.0736620202661 8:-0.154408290982 9:-0.00212811958045 10:0.0454913601279 11:0.124038174748 12:0.187127396464 13:0.0259227585047 14:-0.184812694788 15:-0.212041765451 16:0.21117824316 17:-0.293154090643 18:0.0724716335535 19:0.0759560018778 20:-0.0363687537611 21:-0.0176134090871 22:0.014629304409 23:0.191739231348 24:-0.0118863312528 25:0.108417324722 26:-0.157653838396 27:-0.0844911783934 28:-0.0933190435171 29:0.106976129115 30:-0.18392200768 31:0.241453260183 32:-0.112841837108 33:-0.091954678297 34:0.0535768717527 35:-0.102906942368 36:0.168504059315 37:0.100606568158 38:-0.0581451803446 39:0.0324709750712 40:-0.0747199803591 41:-0.0796237438917 42:0.00871605053544 43:0.129338443279 44:-0.106602661312 45:0.075578995049 46:0.0561009943485 47:0.0055142454803 48:-0.0206412002444 49:-0.17829041183 50:0.0651932656765 51:-0.156620532274 52:-0.0712671354413 53:0.145012483001 54:-0.0458729565144 55:0.181500941515 56:0.0279405787587 57:0.161303073168 
1 1:0.266357064247 2:0.138482883573 3:0.00118368864059 4:0.08328037709 5:0.0268096905202 6:-0.250829219818 7:0.079672306776 8:0.0587837323546 9:0.0641080588102 10:-0.176478266716 11:0.123294696212 12:0.0124489329755 13:-0.0657214298844 14:-0.188928037882 15:0.0883858948946 16:-0.021492369473 17:-0.111929193139 18:0.0280409008265 19:0.434024363756 20:0.128001093864 21:-0.0303254071623 22:-0.0684956684709 23:0.0333846285939 24:-0.159526884556 25:0.229502260685 26:0.0659442171454 27:-0.0475973263383 28:0.01770375669 29:-0.172212660313 30:0.0483375377953 31:-0.112239658833 32:-0.153982788324 33:0.178883507848 34:-0.26590436697 35:0.0263752005994 36:0.0809687301517 37:0.210018247366 38:0.0155863696709 39:0.000272260047495 40:-0.0552162975073 41:-0.000970847904682 42:0.129558235407 43:0.181732565165 44:0.0735857412219 45:0.0514823012054 46:0.101093381643 47:-0.24496024847 48:0.0686136037111 49:-0.015189293772 50:-0.201543569565 51:-0.0291648693383 52:0.128586351871 53:0.039143666625 54:0.0215978436172 55:0.250229567289 56:-0.0823136568069 57:0.279971271753 
1 1:0.215609431267 2:-9.69804823399e-05 3:-0.0434521920979 4:-0.189652115107 5:-0.081333398819 6:-0.238976567984 7:0.113013550639 8:-0.00825173594058 9:-0.116408988833 10:-0.248046010733 11:0.121239334345 12:-0.13749922812 13:0.0821053534746 14:-0.272722303867 15:-0.0756523758173 16:0.123716942966 17:-0.106955930591 18:-0.0737817287445 19:0.193125978112 20:0.0935827940702 21:-0.068176522851 22:-0.0370416715741 23:0.32690140605 24:0.0316024422646 25:0.175585433841 26:-0.0904736369848 27:0.0994772091508 28:0.282607853413 29:-0.0359367206693 30:-0.0518534705043 31:0.116608209908 32:-0.244817987084 33:-0.123945519328 34:0.161422893405 35:-0.00212167575955 36:-0.0182203054428 37:0.241225615144 38:0.0617368109524 39:0.00440585520118 40:-0.0421163365245 41:-0.0502224639058 42:-0.172109648585 43:0.0978628396988 44:-0.0981798619032 45:0.134672909975 46:0.0719185397029 47:-0.0471728444099 48:-0.026513196528 49:-0.0016521634534 50:0.22336229682 51:-0.127552092075 52:-0.123256273568 53:0.0893383324146 54:-0.0246263332665 55:0.233322456479 56:-0.00632183253765 57:0.11696972698 
1 1:0.234573572874 2:-0.027298334986 3:-0.00959827005863 4:-0.0180341526866 5:-0.0474287196994 6:-0.0425146110356 7:-0.0455313287675 8:-0.0919095426798 9:-0.070915453136 10:-0.108590036631 11:0.164255037904 12:-0.0175121389329 13:-0.075859606266 14:-0.155943989754 15:-0.0485127046704 16:0.0495007373393 17:-0.0325635001063 18:0.101997792721 19:0.163769811392 20:0.0969347655773 21:0.0409343317151 22:0.125728607178 23:0.0766170695424 24:-0.128225117922 25:0.235716700554 26:-0.0235735923052 27:0.110091067851 28:-0.187138587236 29:-0.205629512668 30:-0.0752718821168 31:0.00156510807574 32:-0.0850436985493 33:-0.0550441034138 34:-0.00733698904514 35:0.0642395615578 36:0.0989639535546 37:0.331538617611 38:0.171992361546 39:-0.101722121239 40:0.00981542654335 41:-0.0593238249421 42:0.035791054368 43:0.177660956979 44:-0.0825410857797 45:-0.0367958582938 46:-0.111794672906 47:-0.0627262294292 48:0.0141754075885 49:-0.0463924631476 50:0.0107031837106 51:-0.0830662250519 52:0.0231344588101 53:0.270512789488 54:0.0571087002754 55:0.112116143107 56:-0.073132045567 57:0.189510405064 
1 1:0.581633150578 2:-0.0659050345421 3:-0.1558765769 4:0.270113557577 5:-0.130543529987 6:-0.266699135303 7:0.19987270236 8:0.0273017119616 9:-0.160003274679 10:-0.160822436213 11:0.231027722359 12:-0.193676784635 13:0.525528490543 14:-0.264778792858 15:0.0474977940321 16:-0.0801745429635 17:-0.0754359662533 18:-0.177369743586 19:0.125238746405 20:-0.0561930574477 21:0.00472821481526 22:-0.265535533428 23:0.163743793964 24:-0.234692379832 25:0.0667382851243 26:0.0326667092741 27:0.24012054503 28:0.681113243103 29:-0.0523021072149 30:0.124767914414 31:-0.0124455746263 32:0.0755780860782 33:-0.131691083312 34:0.00927141681314 35:0.461345881224 36:-0.202628970146 37:0.349750548601 38:-0.189658612013 39:0.240686237812 40:-0.327876895666 41:0.019049404189 42:-0.348042935133 43:0.166826069355 44:0.119680762291 45:-0.319503515959 46:0.15802679956 47:-0.0532709695399 48:-0.0457967370749 49:0.102548480034 50:-0.0907948762178 51:0.0100134965032 52:0.393768966198 53:0.0890720784664 54:-0.18535143137 55:0.146113291383 56:-0.34402385354 57:0.255422085524 
