0.89;0.90;0.49;0.50;0.84;0.86
0.84;0.91;0.90;0.91;0.90;0.86
0.50;0.49;0.50;0.49;0.50;0.49
0.50;0.88;0.90;0.90;0.88;0.89
0.50;0.89;0.90;0.90;0.90;0.83
