,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.3393470790378007, 0.47185852746131612]","[0.62094763092269323, 0.5270057682223388]","[0.36363636363636365, 0.48397737983034872]","[0.41244239631336405, 0.47723214285714288]","[0.36657884832517879, 0.47237587925971453]"
1,"[0.63184931506849318, 0.52509783903352047]","[0.596045197740113, 0.51740020470829073]","[0.032786885245901641, 0.39528929851510497]","[0.069529652351738247, 0.40778032036613271]","[0.064546899841017483, 0.40275521017308369]"
2,"[0.87325102880658434, 0.57650085763293313]","[0.71844660194174759, 0.5527426160337553]","[0.52617801047120416, 0.505099562894609]","[0.57476635514018692, 0.51647373107747108]","[0.68692253020611227, 0.53582769570619904]"
3,"[0.39202081526452731, 0.47386286490156143]","[0.33918128654970758, 0.46439471007121058]","[0.77488151658767768, 0.55175829618623085]","[0.2927927927927928, 0.45022421524663675]","[0.37989018531228552, 0.4772695676352009]"
4,"[0.51042611060743426, 0.50572197913160555]","[0.54380664652567978, 0.49822964087000504]","[0.32621951219512196, 0.47136772361571228]","[0.71508379888268159, 0.53367875647668395]","[0.64764965849738854, 0.5242049827830666]"
5,"[0.2560386473429952, 0.44459762191969671]","[0.2264957264957265, 0.4266304347826087]","[0.90039840637450197, 0.61474987106756063]","[0.94817658349328215, 0.61031119368323272]","[0.86162755257543433, 0.58556245095941217]"
mean,"[0.50048883268797251, 0.49960661501343884]","[0.50748718169594464, 0.49773389578136823]","[0.48735011575179521, 0.50370702201826101]","[0.50213192982900767, 0.49928339328455001]","[0.50120261245956954, 0.49966596441944616]"
