,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.3393470790378007, 0.47321884033327666]","[0.55361596009975067, 0.4960671211326691]","[0.68652037617554862, 0.53628652214891614]","[0.41474654377880182, 0.47589285714285712]","[0.50658637561159203, 0.49743904937512806]"
1,"[0.54195205479452058, 0.50570018717032494]","[0.64689265536723162, 0.52558853633572156]","[0.40368852459016391, 0.49359959037378393]","[0.31697341513292432, 0.46041189931350113]","[0.39300476947535773, 0.47643942069939949]"
2,"[0.68641975308641978, 0.53499142367066899]","[0.57038834951456308, 0.52109704641350207]","[0.42146596858638741, 0.48664400194269064]","[0.53271028037383172, 0.50356188780053424]","[0.48862828713574979, 0.49986193566201848]"
3,"[0.4457935819601041, 0.48913781398506451]","[0.23976608187134502, 0.46897253306205494]","[0.36018957345971564, 0.47449232293214461]","[0.29054054054054052, 0.45829596412556056]","[0.29821551132463969, 0.45829278465174478]"
4,"[0.49501359927470534, 0.49410972736452374]","[0.52567975830815705, 0.51188669701568035]","[0.26829268292682928, 0.47941315664931378]","[0.63407821229050276, 0.51770293609671847]","[0.52028927280032145, 0.50239686719330223]"
5,"[0.48389694041867953, 0.49595037049801827]","[0.45512820512820512, 0.50380434782608696]","[0.79880478087649398, 0.57297576070139244]","[0.80422264875239924, 0.57129586623316297]","[0.76592502285888453, 0.56230829588415721]"
mean,"[0.49873716809537161, 0.49885139383697946]","[0.49857850171487544, 0.50456938029761922]","[0.48982698443585643, 0.50723522579137359]","[0.49887860681150009, 0.49786023511872246]","[0.49544153986775763, 0.49945639224429178]"
