,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.31872852233676974, 0.46267641557558237]","[0.53366583541147128, 0.49711588883062402]","[0.49843260188087773, 0.501885014137606]","[0.40552995391705071, 0.48080357142857144]","[0.40609710199473092, 0.4813904254592638]"
1,"[0.65839041095890416, 0.5317338778288242]","[0.69774011299435024, 0.53326509723643811]","[0.053278688524590161, 0.37839221710189452]","[0.069529652351738247, 0.40274599542334094]","[0.084260731319554846, 0.41123277993641821]"
2,"[0.86255144032921816, 0.57598627787307033]","[0.70873786407766992, 0.54535864978902948]","[0.52879581151832455, 0.50607090820786793]","[0.61682242990654201, 0.52760463045414074]","[0.69225302061122962, 0.53900317547977361]"
3,"[0.43798785776235905, 0.48845892735913105]","[0.47953216374269003, 0.48372329603255343]","[0.72511848341232232, 0.53095591877166914]","[0.3536036036036036, 0.45695067264573991]","[0.38435140700068632, 0.47907688030029194]"
4,"[0.52039891205802358, 0.50218781555031977]","[0.49848942598187312, 0.49570055639858374]","[0.32621951219512196, 0.48035967818267866]","[0.63966480446927376, 0.52806563039723664]","[0.63479308959421454, 0.52393491324015939]"
5,"[0.20933977455716588, 0.4332241943822161]","[0.19230769230769232, 0.42608695652173911]","[0.84063745019920322, 0.59205776173285196]","[0.9174664107485605, 0.60473757547607987]","[0.80554708930204211, 0.57265140166916328]"
mean,"[0.50123281966707345, 0.49904458476152397]","[0.51841218241929121, 0.49687507413482795]","[0.49541375795507331, 0.49828691635576133]","[0.50043614249946156, 0.50015134597085154]","[0.50121707330374299, 0.50121492934751177]"
