,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.30326460481099654, 0.46505696310151334]","[0.59850374064837908, 0.52333508127949657]","[0.40438871473354232, 0.48680490103675778]","[0.36635944700460832, 0.47723214285714288]","[0.34173880316146027, 0.47176125110974526]"
1,"[0.61044520547945202, 0.51727071635188027]","[0.69209039548022599, 0.53121801432958038]","[0.051229508196721313, 0.39324116743471582]","[0.085889570552147243, 0.40778032036613271]","[0.070906200317965018, 0.40960791239844579]"
2,"[0.92098765432098761, 0.59073756432246993]","[0.67718446601941751, 0.54008438818565396]","[0.47643979057591623, 0.4968431277319087]","[0.56775700934579443, 0.50400712377560108]","[0.70504619758351106, 0.53886511114179203]"
3,"[0.45706851691240241, 0.48998642226748135]","[0.35380116959064328, 0.47304170905391657]","[0.77725118483412325, 0.55373947498761766]","[0.33783783783783783, 0.46995515695067264]","[0.40082361015785861, 0.47879883219797026]"
4,"[0.57026291931097006, 0.52322450353416361]","[0.58006042296072513, 0.51492159838138596]","[0.34146341463414637, 0.47799337434926642]","[0.75418994413407825, 0.54231433506044902]","[0.67738047408597835, 0.53088920397002226]"
5,"[0.14331723027375201, 0.42271239014302947]","[0.1623931623931624, 0.41249999999999998]","[0.88047808764940239, 0.59876224858174321]","[0.91170825335892514, 0.59591267998142128]","[0.81347150259067358, 0.57443469577002637]"
mean,"[0.50089102185142675, 0.50149809328675643]","[0.51067222618209218, 0.49918346520500562]","[0.48854178343730864, 0.50123071568700162]","[0.50395701037223184, 0.49953362649856992]","[0.50156113131624114, 0.50072616776466694]"
