,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.29639175257731959, 0.46726747151844922]","[0.49376558603491272, 0.50917671735710535]","[0.72100313479623823, 0.51743638077285581]","[0.44239631336405533, 0.49508928571428573]","[0.5325555137372977, 0.50652188759134054]"
1,"[0.60017123287671237, 0.51539901310192271]","[0.66101694915254239, 0.53838280450358245]","[0.37295081967213117, 0.4731182795698925]","[0.28425357873210633, 0.45675057208237985]","[0.36788553259141493, 0.47382550335570472]"
2,"[0.68724279835390945, 0.54168096054888504]","[0.56796116504854366, 0.5216244725738397]","[0.50261780104712039, 0.50655658086449729]","[0.57242990654205606, 0.51914514692787173]","[0.53944562899786785, 0.50862902112384367]"
3,"[0.50997398091934087, 0.50050916496945008]","[0.35380116959064328, 0.47151576805696849]","[0.37440758293838861, 0.47052996532937097]","[0.29729729729729731, 0.45426008968609866]","[0.2934111187371311, 0.45898790490754898]"
4,"[0.50317316409791479, 0.50033658700774153]","[0.49244712990936557, 0.49822964087000504]","[0.23780487804878048, 0.45716990061523899]","[0.6005586592178771, 0.51856649395509502]","[0.49417436721574931, 0.49821078927823914]"
5,"[0.40257648953301128, 0.47889022919179736]","[0.42735042735042733, 0.48097826086956524]","[0.7450199203187251, 0.56472408457968026]","[0.77927063339731284, 0.57268927078495124]","[0.75068576653459307, 0.55603110064911909]"
mean,"[0.49992156972636809, 0.50068057105637431]","[0.49939040451440575, 0.50331794403851104]","[0.4923006894702307, 0.49825586528858928]","[0.49603439809178412, 0.50275014319178035]","[0.49635965463567566, 0.50036770115096607]"
