,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.24914089347079038, 0.44975344329195716]","[0.52618453865336656, 0.51179863660199265]","[0.50156739811912221, 0.49575871819038642]","[0.38940092165898615, 0.48973214285714284]","[0.42190440346255176, 0.48828791914225228]"
1,"[0.64982876712328763, 0.52679938744257271]","[0.71751412429378536, 0.54145342886386894]","[0.043032786885245901, 0.38146441372247825]","[0.063394683026584867, 0.39542334096109838]","[0.069952305246422888, 0.40409749205227835]"
2,"[0.89300411522633749, 0.57495711835334473]","[0.70873786407766992, 0.54272151898734178]","[0.52617801047120416, 0.50607090820786793]","[0.59579439252336452, 0.51869991095280499]","[0.72068230277185497, 0.54514703851995028]"
3,"[0.48829141370338247, 0.5]","[0.3888888888888889, 0.48168870803662256]","[0.7345971563981043, 0.55076770678553744]","[0.31531531531531531, 0.46143497757847535]","[0.38503774879890185, 0.47539274294452938]"
4,"[0.58839528558476883, 0.51245371928643557]","[0.595166163141994, 0.51643904906423876]","[0.3048780487804878, 0.4628490298154283]","[0.74581005586592175, 0.53799654576856648]","[0.63599839292888716, 0.52366484369725208]"
5,"[0.15136876006441224, 0.42409098742029983]","[0.14102564102564102, 0.42065217391304349]","[0.86653386454183268, 0.59515214027849406]","[0.90211132437619956, 0.60380863910822113]","[0.78573605608046326, 0.56387759469291676]"
mean,"[0.50333820586216316, 0.49800910929910169]","[0.51291953668022428, 0.50245891924451813]","[0.49613121086599948, 0.4986771528333655]","[0.5019711154610621, 0.50118259287105149]","[0.50321853488151369, 0.50007793850819648]"
