90,62;85,89;86,63;93,18;94,79;88,65;91,02;89,17;95,75;91,05;95,88;98,82;94,34;91,84;94,8;93,48;90,78;98,37;91,63;95,29;93,04;95,36;93,99;95,94;96,66;95,83;94,93;88,43;97,17;93,97;93,34;91,4;89,25;97,3;94,64;94;94,63;94,7;94,43;93,36;98,53;93,66;92,51;91,99;90,49;93,56;95,44;85,9;91,24;96,21;93,2;91,8;93,27;94,06;96,89;84,5;;93,17142857;3,196071696
93,28;87,33;87,2;93,11;94,83;88,52;91,06;88,91;97,06;90,85;95,68;99,01;94,25;91,73;94,38;93,41;91,26;98,67;90,34;94,5;92,34;95,86;93,98;96,73;96,7;96,21;94,91;88,5;97;94,34;93,95;92,44;89,37;97,18;94,48;93,67;94,52;94,23;94,81;93,51;98,47;92,95;92,7;93,63;90,3;93,65;95,2;86,72;92,72;96,17;92,83;91,99;93,53;94,38;96,73;83,84;;93,32;3,14161626
91,4;85,66;86,24;93,56;94,82;88,2;91,12;88,61;95,89;90,68;95,73;99,14;94,39;91,64;95,24;92,89;91,72;98,32;91,12;94,35;92,46;95,47;93,89;95,7;96,79;95,93;95,54;89,79;96,89;94,64;93,48;91,85;89,42;97,18;95,03;93,8;94,78;94,63;94,9;93,05;98,51;93,33;92,97;92,12;90,41;93,71;95,02;86,24;91,76;96,46;93,75;91,58;93,28;93,84;96,66;84,75;;93,22017857;3,180889236
90,02;86,38;87,25;93,4;94,89;88,22;91,28;89,19;95,82;90,98;95,52;99,08;94,36;91,45;94,81;92,95;91,75;98,31;91,14;93,88;92,51;95,69;94,45;96,07;96,31;96,3;94,76;88,72;96,81;93,94;93,35;93,37;88,4;97,11;94,05;93,67;94,92;94,34;94,53;93,61;98,42;93,12;92,85;92,36;90,01;93,56;94,21;86,18;91,85;96,26;92,67;91,14;93,67;93,68;96,77;84,56;;93,12321429;3,134841801
89,84;88,63;85,79;93,2;95,25;88,45;90,92;90,22;96,82;91,04;95,8;98,87;94,29;92,05;94,85;94,19;91,24;98,25;90,71;93,94;93,32;95,75;94,04;95,77;96,48;96,04;95,34;88,34;97,08;94,34;93,75;91,98;89,38;97,54;94,35;93,46;97,57;94,76;94,39;93,18;98,49;93,02;93,26;93,73;90,77;93,49;94,58;85,69;91,64;96,26;92,98;91,55;93,25;93,24;96,76;84,4;;93,29142857;3,192272162
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91,032;86,778;86,622;93,29;94,916;88,408;91,08;89,22;96,268;90,92;95,722;98,984;94,326;91,742;94,816;93,384;91,35;98,384;90,988;94,392;92,734;95,626;94,07;96,042;96,588;96,062;95,096;88,756;96,99;94,246;93,574;92,208;89,164;97,262;94,51;93,72;95,284;94,532;94,612;93,342;98,484;93,216;92,858;92,766;90,396;93,594;94,89;86,146;91,842;96,272;93,086;91,612;93,4;93,84;96,762;84,41;;;
1,397;1,218;0,626;0,185;0,19;0,195;0,133;0,607;0,621;0,156;0,136;0,136;0,056;0,224;0,305;0,522;0,401;0,165;0,487;0,567;0,424;0,206;0,219;0,411;0,192;0,194;0,329;0,595;0,144;0,293;0,267;0,748;0,432;0,17;0,362;0,198;1,287;0,233;0,23;0,23;0,042;0,287;0,283;0,846;0,277;0,086;0,493;0,39;0,543;0,112;0,419;0,319;0,189;0,426;0,083;0,343;;;
90.62,85.89,86.63,93.18,94.79,88.65,91.02,89.17,95.75,91.05,95.88,98.82,94.34,91.84,94.80,93.48,90.78,98.37,91.63,95.29,93.04,95.36,93.99,95.94,96.66,95.83,94.93,88.43,97.17,93.97,93.34,91.40,89.25,97.30,94.64,94.00,94.63,94.70,94.43,93.36,98.53,93.66,92.51,91.99,90.49,93.56,95.44,85.90,91.24,96.21,93.20,91.80,93.27,94.06,96.89,84.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93.28,87.33,87.20,93.11,94.83,88.52,91.06,88.91,97.06,90.85,95.68,99.01,94.25,91.73,94.38,93.41,91.26,98.67,90.34,94.50,92.34,95.86,93.98,96.73,96.70,96.21,94.91,88.50,97.00,94.34,93.95,92.44,89.37,97.18,94.48,93.67,94.52,94.23,94.81,93.51,98.47,92.95,92.70,93.63,90.30,93.65,95.20,86.72,92.72,96.17,92.83,91.99,93.53,94.38,96.73,83.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91.40,85.66,86.24,93.56,94.82,88.20,91.12,88.61,95.89,90.68,95.73,99.14,94.39,91.64,95.24,92.89,91.72,98.32,91.12,94.35,92.46,95.47,93.89,95.70,96.79,95.93,95.54,89.79,96.89,94.64,93.48,91.85,89.42,97.18,95.03,93.80,94.78,94.63,94.90,93.05,98.51,93.33,92.97,92.12,90.41,93.71,95.02,86.24,91.76,96.46,93.75,91.58,93.28,93.84,96.66,84.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90.02,86.38,87.25,93.40,94.89,88.22,91.28,89.19,95.82,90.98,95.52,99.08,94.36,91.45,94.81,92.95,91.75,98.31,91.14,93.88,92.51,95.69,94.45,96.07,96.31,96.30,94.76,88.72,96.81,93.94,93.35,93.37,88.40,97.11,94.05,93.67,94.92,94.34,94.53,93.61,98.42,93.12,92.85,92.36,90.01,93.56,94.21,86.18,91.85,96.26,92.67,91.14,93.67,93.68,96.77,84.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89.84,88.63,85.79,93.20,95.25,88.45,90.92,90.22,96.82,91.04,95.80,98.87,94.29,92.05,94.85,94.19,91.24,98.25,90.71,93.94,93.32,95.75,94.04,95.77,96.48,96.04,95.34,88.34,97.08,94.34,93.75,91.98,89.38,97.54,94.35,93.46,97.57,94.76,94.39,93.18,98.49,93.02,93.26,93.73,90.77,93.49,94.58,85.69,91.64,96.26,92.98,91.55,93.25,93.24,96.76,84.40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
