99,96;98,92;85,72;99,97;86,03;98,27;97,51;87,72;87,2;94,86;99,93;99,81;99,59;99,97;96,23;99,54;;95,701875;5,594947982
99,94;99,53;86,43;99,99;88,59;97,67;97,6;86,37;87,82;95,21;99,96;99,49;99,63;99,99;96,99;99,68;;95,930625;5,338065154
99,94;99,04;85,33;99,99;87,46;98,24;98,14;88,3;87,24;93,82;99,93;99,48;99,65;99,91;97,13;99,41;;95,813125;5,454998587
99,97;99,31;84,38;99,97;85,69;98,24;97,17;87,68;87,92;94,18;99,94;99,52;99,62;99,96;96,96;99,74;;95,640625;5,759333837
99,94;98,98;84,92;99,99;88,62;97,86;97,01;88,03;88,84;94,12;99,96;99,52;99,72;99,97;97,1;99,62;;95,8875;5,241747164
;;;;;;;;;;;;;;;;;;
99,95;99,156;85,356;99,982;87,278;98,056;97,486;87,62;87,804;94,438;99,944;99,564;99,642;99,96;96,882;99,598;;;
0,014;0,257;0,779;0,011;1,382;0,274;0,438;0,743;0,665;0,575;0,015;0,139;0,049;0,03;0,371;0,129;;;
99.96,98.92,85.72,99.97,86.03,98.27,97.51,87.72,87.20,94.86,99.93,99.81,99.59,99.97,96.23,99.54;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
99.94,99.53,86.43,99.99,88.59,97.67,97.60,86.37,87.82,95.21,99.96,99.49,99.63,99.99,96.99,99.68;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
99.94,99.04,85.33,99.99,87.46,98.24,98.14,88.30,87.24,93.82,99.93,99.48,99.65,99.91,97.13,99.41;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
99.97,99.31,84.38,99.97,85.69,98.24,97.17,87.68,87.92,94.18,99.94,99.52,99.62,99.96,96.96,99.74;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
99.94,98.98,84.92,99.99,88.62,97.86,97.01,88.03,88.84,94.12,99.96,99.52,99.72,99.97,97.10,99.62;;;;;;;;;;;;;;;;;;
