99,98;96,34;97,1;99,95;99,79;93,39;99,84;96,24;93,46;90,26;98,06;92,95;99,98;99,95;99,9;99,76;99,79;96,99;;97,42944444;3,077893612
99,97;96,49;97,45;99,98;99,76;94,18;99,9;96,32;91,55;90,45;97,92;91,12;99,98;99,93;99,95;99,83;99,88;97,24;;97,32777778;3,353899496
99,97;97,19;97,41;99,97;99,84;93,65;99,86;96,34;90,95;91,43;98,18;91,42;99,95;99,93;99,98;99,83;99,79;96,7;;97,355;3,304968185
99,97;97,15;97,71;99,95;99,78;94,58;99,86;96,92;89,58;90,63;97,83;90,92;99,98;99,93;99,9;99,83;99,83;96,79;;97,28555556;3,544497346
99,98;96,41;97,73;99,95;99,79;93,32;99,88;96,76;93,46;91,62;97,81;92,31;99,98;99,93;99,9;99,78;99,84;96,74;;97,51055556;2,963657264
;;;;;;;;;;;;;;;;;;;;
99,974;96,716;97,48;99,96;99,792;93,824;99,868;96,516;91,8;90,878;97,96;91,744;99,974;99,934;99,926;99,806;99,826;96,892;;;
0,005;0,418;0,258;0,014;0,029;0,541;0,023;0,303;1,675;0,609;0,158;0,859;0,013;0,009;0,037;0,034;0,038;0,224;;;
99.98,96.34,97.10,99.95,99.79,93.39,99.84,96.24,93.46,90.26,98.06,92.95,99.98,99.95,99.90,99.76,99.79,96.99;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
99.97,96.49,97.45,99.98,99.76,94.18,99.90,96.32,91.55,90.45,97.92,91.12,99.98,99.93,99.95,99.83,99.88,97.24;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
99.97,97.19,97.41,99.97,99.84,93.65,99.86,96.34,90.95,91.43,98.18,91.42,99.95,99.93,99.98,99.83,99.79,96.70;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
99.97,97.15,97.71,99.95,99.78,94.58,99.86,96.92,89.58,90.63,97.83,90.92,99.98,99.93,99.90,99.83,99.83,96.79;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
99.98,96.41,97.73,99.95,99.79,93.32,99.88,96.76,93.46,91.62,97.81,92.31,99.98,99.93,99.90,99.78,99.84,96.74;;;;;;;;;;;;;;;;;;;;
