95,72;99,54;82,8;99,99;99,09;99,91;95,28;99,51;97,27;92,19;99,87;94,84;94,2;93,22;97,48;96,02;99,97;97,9;96,14;98,32;96,46;97,25;;96,49863636;3,824311075
94,95;99,56;83,75;99,99;98,88;99,94;95,05;99,24;96,94;92,7;99,95;93,88;94,64;93,04;97,26;95,68;99,93;98;96,45;97,89;96,66;97,44;;96,44636364;3,654702835
95,67;99,56;82,32;99,98;98,85;99,95;95,53;99,51;97;92,29;99,95;94,08;94,84;93,18;97,54;95,63;99,94;98,09;95,94;98,29;96,65;97,3;;96,45863636;3,906740567
95,36;99,63;82,04;99,98;99,14;99,97;95,09;99,29;97,36;91,7;99,91;95,05;94,65;92,46;97,37;95,93;99,97;97,9;96,08;98,88;96,7;97,32;;96,44454545;4,023169477
94,73;99,62;81,56;100;98,86;99,94;95,57;99,55;97,25;92,1;99,96;94,01;94,79;93,24;97,98;95,79;99,95;97,65;95,93;98,19;96,64;97,28;;96,39045455;4,064959998
;;;;;;;;;;;;;;;;;;;;;;;;
95,286;99,582;82,494;99,988;98,964;99,942;95,304;99,42;97,164;92,196;99,928;94,372;94,624;93,028;97,526;95,81;99,952;97,908;96,108;98,314;96,622;97,318;;;
0,437;0,04;0,834;0,008;0,139;0,022;0,241;0,144;0,183;0,36;0,038;0,533;0,252;0,327;0,275;0,164;0,018;0,165;0,211;0,359;0,093;0,073;;;
95.72,99.54,82.80,99.99,99.09,99.91,95.28,99.51,97.27,92.19,99.87,94.84,94.20,93.22,97.48,96.02,99.97,97.90,96.14,98.32,96.46,97.25;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
94.95,99.56,83.75,99.99,98.88,99.94,95.05,99.24,96.94,92.70,99.95,93.88,94.64,93.04,97.26,95.68,99.93,98.00,96.45,97.89,96.66,97.44;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
95.67,99.56,82.32,99.98,98.85,99.95,95.53,99.51,97.00,92.29,99.95,94.08,94.84,93.18,97.54,95.63,99.94,98.09,95.94,98.29,96.65,97.30;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
95.36,99.63,82.04,99.98,99.14,99.97,95.09,99.29,97.36,91.70,99.91,95.05,94.65,92.46,97.37,95.93,99.97,97.90,96.08,98.88,96.70,97.32;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
94.73,99.62,81.56,100.00,98.86,99.94,95.57,99.55,97.25,92.10,99.96,94.01,94.79,93.24,97.98,95.79,99.95,97.65,95.93,98.19,96.64,97.28;;;;;;;;;;;;;;;;;;;;;;;;
