,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[47.21030042918455, 52.304029926883175]","[38.2716049382716, 60.40901940220241]","[53.125, 58.906691800188504]","[35.63218390804598, 65.35714285714286]","[64.56692913385827, 44.50590725944137]"
1,"[49.14529914529914, 58.36311043049175]","[43.66197183098591, 61.2589559877175]","[43.87755102040816, 54.32667690732207]","[45.91836734693878, 59.31350114416476]","[65.43778801843318, 40.12716354645002]"
2,"[62.55144032921811, 48.336192109777016]","[50.602409638554214, 60.390295358649794]","[49.35064935064935, 62.943176299174354]","[38.372093023255815, 62.28851291184328]","[58.104738154613464, 48.294905425928484]"
3,"[47.18614718614719, 58.01086218601493]","[42.028985507246375, 60.274669379450664]","[41.17647058823529, 59.286775631500745]","[43.82022471910113, 64.43946188340807]","[74.63414634146342, 40.47685249548172]"
4,"[48.41628959276018, 55.01514641534837]","[47.76119402985074, 62.2154779969651]","[45.45454545454545, 58.731661145291056]","[54.166666666666664, 55.48359240069085]","[50.96952908587258, 57.97717912362433]"
5,"[48.99598393574297, 51.7490952955368]","[42.5531914893617, 60.652173913043484]","[34.65346534653465, 69.36565239814337]","[42.857142857142854, 62.563864375290294]","[58.849557522123895, 47.8778800199729]"
mean,"[50.58424343639202, 53.963072727342]","[44.14655957237843, 60.8667653396715]","[44.60628029339548, 60.59343903027002]","[43.46111308685854, 61.574345928756685]","[62.093781376060804, 46.5433146451498]"
