,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.38626609442060084, 0.34738989967692568]","[0.58024691358024694, 0.50026219192448873]","[0.421875, 0.59849198868991516]","[0.48275862068965519, 0.50133928571428577]","[0.54855643044619418, 0.45086389401079013]"
1,"[0.47863247863247865, 0.37110770801429299]","[0.45070422535211269, 0.48311156601842375]","[0.5, 0.40040962621607784]","[0.43877551020408162, 0.44210526315789472]","[0.54838709677419351, 0.47099964676792655]"
2,"[0.43209876543209874, 0.37427101200686108]","[0.46987951807228917, 0.54008438818565396]","[0.36363636363636365, 0.44973288003885381]","[0.41860465116279072, 0.51024042742653608]","[0.68079800498753118, 0.49358000828386028]"
3,"[0.49783549783549785, 0.34792939579090293]","[0.42028985507246375, 0.50813835198372326]","[0.4823529411764706, 0.5577018325903913]","[0.4157303370786517, 0.50358744394618837]","[0.57073170731707312, 0.50076463228138468]"
4,"[0.54751131221719462, 0.31386738471894987]","[0.38805970149253732, 0.43803743045017701]","[0.42424242424242425, 0.54141031708471365]","[0.44444444444444442, 0.48229706390328153]","[0.49861495844875348, 0.40584700560394299]"
5,"[0.58634538152610438, 0.40186110632431499]","[0.44680851063829785, 0.43532608695652175]","[0.37623762376237624, 0.59876224858174321]","[0.42857142857142855, 0.42359498374361354]","[0.63716814159292035, 0.41172694200727583]"
mean,"[0.48811492167732923, 0.35940441775537457]","[0.45933145403465786, 0.48416000258649805]","[0.42805739213627247, 0.52441814886694915]","[0.43814749869184194, 0.47719407798196661]","[0.58070938992777765, 0.4556303548258635]"
