,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.3261802575107296, 0.41506546505696312]","[0.44444444444444442, 0.50812794965915054]","[0.4375, 0.5527803958529689]","[0.52873563218390807, 0.58973214285714282]","[0.34120734908136485, 0.54606296523936348]"
1,"[0.39743589743589741, 0.57206057512336228]","[0.39436619718309857, 0.55987717502558854]","[0.51020408163265307, 0.50742447516641065]","[0.33673469387755101, 0.47826086956521741]","[0.46313364055299538, 0.53910279053338039]"
2,"[0.37860082304526749, 0.6120068610634648]","[0.3253012048192771, 0.60548523206751059]","[0.48051948051948051, 0.53035454103933943]","[0.46511627906976744, 0.46304541406945682]","[0.41645885286783041, 0.43794008007731605]"
3,"[0.51082251082251084, 0.65173116089613037]","[0.46376811594202899, 0.47049847405900302]","[0.50588235294117645, 0.40267459138187223]","[0.34831460674157305, 0.37040358744394619]","[0.34146341463414637, 0.58723759210343385]"
4,"[0.38914027149321267, 0.54695388757993946]","[0.44776119402985076, 0.57511380880121399]","[0.53030303030303028, 0.51159488878371984]","[0.40277777777777779, 0.49827288428324695]","[0.36842105263157893, 0.61076227128485583]"
5,"[0.42168674698795183, 0.45700499741513012]","[0.41489361702127658, 0.48749999999999999]","[0.49504950495049505, 0.42857142857142855]","[0.42857142857142855, 0.61867162099396189]","[0.37831858407079644, 0.52200584920465087]"
mean,"[0.40397775121592833, 0.54247049118916502]","[0.41508912890666272, 0.53443377326874442]","[0.4932430750578059, 0.48890005346595661]","[0.41837506970366761, 0.50306441986882866]","[0.38483381563978541, 0.54051859140716674]"
