,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[41.201716738197426, 45.57048121067845]","[43.20987654320987, 45.464079706345046]","[32.8125, 53.204524033930255]","[39.08045977011494, 56.875]","[51.181102362204726, 51.526326572423685]"
1,"[49.14529914529914, 46.45227156712608]","[40.845070422535215, 50.15353121801432]","[39.795918367346935, 53.45622119815668]","[46.93877551020408, 46.59038901601831]","[47.235023041474655, 50.63228541151537]"
2,"[40.74074074074074, 52.504288164665525]","[46.98795180722892, 53.21729957805908]","[48.05194805194805, 46.72170956775133]","[58.139534883720934, 50.44523597506678]","[46.38403990024938, 40.98439872980809]"
3,"[50.649350649350644, 41.581805838424984]","[44.927536231884055, 55.595116988809764]","[43.529411764705884, 59.73254086181278]","[26.96629213483146, 55.7847533632287]","[45.36585365853659, 57.34046990129292]"
4,"[48.41628959276018, 56.6812521036688]","[43.28358208955223, 42.792109256449166]","[59.09090909090909, 52.24798864174161]","[30.555555555555557, 50.73402417962003]","[40.443213296398895, 49.476740260617106]"
5,"[43.373493975903614, 42.94330518697226]","[45.744680851063826, 47.71739130434783]","[39.603960396039604, 55.13151108818979]","[45.714285714285715, 42.22015791918254]","[51.76991150442478, 49.06912047934945]"
mean,"[45.58781514037529, 47.62223401192268]","[44.16644965757902, 49.156588008670866]","[43.81410794515826, 53.4157492319304]","[41.23248392811879, 50.441593408852725]","[47.063190627214844, 49.83822355916777]"
