,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.46351931330472101, 0.49039279034177863]","[0.54320987654320985, 0.52333508127949657]","[0.375, 0.57351555136663523]","[0.4942528735632184, 0.43080357142857145]","[0.52230971128608927, 0.50966332035785011]"
1,"[0.44871794871794873, 0.54381487153309516]","[0.45070422535211269, 0.55885363357215967]","[0.39795918367346939, 0.47158218125960061]","[0.38775510204081631, 0.51441647597254003]","[0.47235023041474655, 0.50194277640409746]"
2,"[0.50617283950617287, 0.52984562607204122]","[0.48192771084337349, 0.46940928270042193]","[0.50649350649350644, 0.46770276833414282]","[0.45348837209302323, 0.48753339269813001]","[0.4314214463840399, 0.46127295319618944]"
3,"[0.45454545454545453, 0.46605566870332654]","[0.49275362318840582, 0.41251271617497459]","[0.42352941176470588, 0.40416047548291234]","[0.43820224719101125, 0.61659192825112108]","[0.47804878048780486, 0.41512581676630056]"
4,"[0.41628959276018102, 0.61578593066307641]","[0.41791044776119401, 0.56449165402124435]","[0.42424242424242425, 0.47704685281590153]","[0.5, 0.51381692573402415]","[0.51523545706371188, 0.5048950104651948]"
5,"[0.39357429718875503, 0.48854041013269001]","[0.44680851063829785, 0.5320652173913043]","[0.36633663366336633, 0.54357916451779265]","[0.44761904761904764, 0.55225267069205763]","[0.44911504424778759, 0.53876881375276409]"
mean,"[0.44713657433720555, 0.52240588290766798]","[0.47221906572109895, 0.51011126418993358]","[0.41559352663957871, 0.48959783229616421]","[0.45355294041785282, 0.51923582746274066]","[0.47808011164736336, 0.48861144849039939]"
