,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.52360515021459231, 0.33293657541234484]","[0.39506172839506171, 0.47561615102254851]","[0.4375, 0.44674835061262957]","[0.45977011494252873, 0.50580357142857146]","[0.56955380577427817, 0.41357645291265449]"
1,"[0.5, 0.34949804321932959]","[0.43661971830985913, 0.48464687819856705]","[0.45918367346938777, 0.41423451100870456]","[0.33673469387755101, 0.53226544622425631]","[0.60829493087557607, 0.47884139879901094]"
2,"[0.60905349794238683, 0.36174957118353346]","[0.43373493975903615, 0.48364978902953587]","[0.4935064935064935, 0.44487615347255949]","[0.38372093023255816, 0.5146927871772039]","[0.70573566084788031, 0.48757420958166503]"
3,"[0.48917748917748916, 0.34606245756958587]","[0.52173913043478259, 0.51576805696846384]","[0.50588235294117645, 0.59930658741951459]","[0.2808988764044944, 0.47354260089686101]","[0.75853658536585367, 0.48595857083275407]"
4,"[0.52036199095022628, 0.35812857623695726]","[0.38805970149253732, 0.52200303490136568]","[0.36363636363636365, 0.56507335541883574]","[0.34722222222222221, 0.56908462867012088]","[0.48476454293628807, 0.45331172776990075]"
5,"[0.44578313253012047, 0.36136481130449766]","[0.45744680851063829, 0.52880434782608698]","[0.33663366336633666, 0.40639504899432699]","[0.40000000000000002, 0.41151881096144916]","[0.65707964601769908, 0.44140095584563804]"
mean,"[0.5146635434691359, 0.35162333915437483]","[0.43877700448365259, 0.50174804299109466]","[0.43272375781995964, 0.4794390011544285]","[0.36805780627989243, 0.5011513075597438]","[0.63066086196959592, 0.46011055262360384]"
