,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.52789699570815452, 0.479000170039109]","[0.53086419753086422, 0.54640797063450441]","[0.46875, 0.58341187558906693]","[0.72413793103448276, 0.46741071428571429]","[0.41469816272965881, 0.58819913952059]"
1,"[0.52564102564102566, 0.4822188191254041]","[0.47887323943661969, 0.60491299897645856]","[0.39795918367346939, 0.62928827444956481]","[0.39795918367346939, 0.57757437070938211]","[0.58986175115207373, 0.50420346167432006]"
2,"[0.48148148148148145, 0.6132075471698113]","[0.46987951807228917, 0.59229957805907174]","[0.44155844155844154, 0.64400194269062649]","[0.45348837209302323, 0.62733748886910057]","[0.73067331670822944, 0.35164986883887894]"
3,"[0.54545454545454541, 0.47929395790902918]","[0.42028985507246375, 0.6515768056968464]","[0.52941176470588236, 0.56215948489351164]","[0.39325842696629215, 0.61928251121076228]","[0.8341463414634146, 0.40928680661754485]"
4,"[0.5565610859728507, 0.55604173678895996]","[0.41791044776119401, 0.65098634294385438]","[0.48484848484848486, 0.53620444865120687]","[0.4861111111111111, 0.58074265975820383]","[0.44875346260387811, 0.54851124164472354]"
5,"[0.49799196787148592, 0.49629501981733587]","[0.52127659574468088, 0.61413043478260865]","[0.40594059405940597, 0.63176895306859204]","[0.34285714285714286, 0.61634928007431489]","[0.64823008849557517, 0.41614951137741635]"
mean,"[0.52250451702159062, 0.51767620847494156]","[0.47318230893635199, 0.610052355182224]","[0.45474474480761401, 0.59780582989042819]","[0.46630202795592024, 0.5814495041512463]","[0.61106052052547166, 0.46966667161224557]"
