,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[42.48927038626609, 60.34687978234994]","[44.44444444444444, 57.3675930781332]","[50.0, 44.1564561734213]","[47.12643678160919, 43.080357142857146]","[38.320209973753286, 49.525370484190404]"
1,"[38.88888888888889, 50.39986387612727]","[39.436619718309856, 54.401228249744115]","[39.795918367346935, 49.97439836149514]","[57.14285714285714, 48.421052631578945]","[39.63133640552996, 50.27198869657364]"
2,"[38.2716049382716, 63.550600343053176]","[40.963855421686745, 57.22573839662447]","[41.55844155844156, 52.40407965031568]","[45.348837209302324, 55.921638468388245]","[36.907730673316706, 46.948778130608865]"
3,"[35.064935064935064, 70.6551255940258]","[44.927536231884055, 46.69379450661241]","[50.588235294117645, 43.28875681030213]","[26.96629213483146, 62.6457399103139]","[34.390243902439025, 56.20047268177395]"
4,"[54.29864253393665, 49.41097273645237]","[40.298507462686565, 55.84218512898331]","[51.515151515151516, 52.01135825840038]","[47.22222222222222, 49.35233160621762]","[30.747922437673132, 39.21409763013976]"
5,"[38.95582329317269, 46.28640358435292]","[41.48936170212766, 51.79347826086956]","[39.603960396039604, 55.544094894275396]","[53.333333333333336, 54.389224338132834]","[45.13274336283185, 47.371424495327766]"
mean,"[41.32819418424517, 56.77497431939358]","[41.926720830189886, 53.88733627016118]","[45.51028452184954, 49.56319069136834]","[46.18999647069261, 52.30172401624812]","[37.521697792590665, 48.255355353102395]"
