,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[0.48927038626609443, 0.56078898146573708]","[0.51851851851851849, 0.57524908232826433]","[0.515625, 0.55372290292177195]","[0.42528735632183906, 0.57455357142857144]","[0.57480314960629919, 0.48227822167588608]"
1,"[0.39316239316239315, 0.61953377573591972]","[0.46478873239436619, 0.55731832139201642]","[0.38775510204081631, 0.60931899641577059]","[0.39795918367346939, 0.61830663615560644]","[0.61751152073732718, 0.45927234192864713]"
2,"[0.56378600823045266, 0.5003430531732419]","[0.46987951807228917, 0.65348101265822789]","[0.51948051948051943, 0.55463817387081105]","[0.37209302325581395, 0.63668744434550306]","[0.69576059850374061, 0.40031754797735747]"
3,"[0.54545454545454541, 0.51527494908350302]","[0.49275362318840582, 0.57273652085452698]","[0.54117647058823526, 0.57751362060425948]","[0.449438202247191, 0.56950672645739908]","[0.724390243902439, 0.38815515084109553]"
4,"[0.5113122171945701, 0.51127566475934028]","[0.41791044776119401, 0.62468386444107238]","[0.60606060606060608, 0.56601987695220068]","[0.43055555555555558, 0.56476683937823835]","[0.60110803324099726, 0.500573897778678]"
5,"[0.48192771084337349, 0.5321385490263657]","[0.45744680851063829, 0.64565217391304353]","[0.5643564356435643, 0.63847343991748329]","[0.55238095238095242, 0.55039479795633994]","[0.48008849557522126, 0.58720308153220624]"
mean,"[0.49748554352523816, 0.53989249554068464]","[0.470216274740902, 0.60485349593119186]","[0.52240902230229025, 0.58328116844704947]","[0.43795237890580357, 0.58570266928694303]","[0.61561034026100414, 0.46963337362231172]"
