,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[50.21459227467812, 53.40928413535113]","[55.55555555555556, 52.01887781856319]","[40.625, 60.69745523091423]","[41.37931034482759, 55.714285714285715]","[47.506561679790025, 53.27460219900294]"
1,"[45.72649572649573, 61.323804662242644]","[56.33802816901409, 60.542476970317296]","[35.714285714285715, 62.41679467485919]","[31.63265306122449, 62.42562929061785]","[63.36405529953917, 43.468738961497706]"
2,"[56.37860082304527, 43.58490566037736]","[40.963855421686745, 60.02109704641351]","[62.33766233766234, 53.08402136959689]","[40.69767441860465, 56.36687444345503]","[60.099750623441395, 46.95568134750794]"
3,"[51.515151515151516, 52.42701968771215]","[39.130434782608695, 63.326551373346895]","[52.94117647058824, 56.414066369489845]","[48.31460674157304, 56.45739910313902]","[76.82926829268293, 42.56221326289448]"
4,"[56.56108597285068, 54.49343655334904]","[49.25373134328358, 59.07941325240264]","[42.42424242424242, 58.731661145291056]","[38.88888888888889, 59.2832469775475]","[55.95567867036011, 52.4069948011613]"
5,"[55.82329317269076, 53.92038600723763]","[59.57446808510638, 57.065217391304344]","[39.603960396039604, 66.32284682826199]","[49.523809523809526, 52.81003251277288]","[60.39823008849557, 43.91896711605678]"
mean,"[52.70320324748534, 53.193139451045]","[50.136012226209175, 58.675605642057974]","[45.607721223803054, 59.611140936402194]","[41.739490496488024, 57.176244673636326]","[60.69225744238486, 47.097866281353525]"
