,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[53.648068669527895, 48.66519299438871]","[50.617283950617285, 56.84320922915575]","[51.5625, 58.8124410933082]","[50.57471264367817, 51.473214285714285]","[56.69291338582677, 54.387762070613945]"
1,"[59.401709401709404, 46.316147694401906]","[54.929577464788736, 57.932446264073704]","[52.04081632653062, 55.4531490015361]","[51.02040816326531, 58.26086956521739]","[66.58986175115207, 41.35641116213352]"
2,"[72.42798353909465, 39.22813036020583]","[57.831325301204814, 65.4535864978903]","[48.05194805194805, 62.943176299174354]","[16.27906976744186, 51.513802315227075]","[73.06733167082294, 37.160016567720554]"
3,"[53.246753246753244, 50.509164969450104]","[44.927536231884055, 60.223804679552394]","[45.88235294117647, 59.286775631500745]","[37.07865168539326, 63.09417040358745]","[73.90243902439025, 35.576254692061724]"
4,"[68.32579185520362, 35.6277347694379]","[35.82089552238806, 60.849772382397575]","[48.484848484848484, 55.229531471840986]","[44.44444444444444, 61.87392055267703]","[44.04432132963989, 57.88940652217946]"
5,"[47.791164658634536, 50.267103222471135]","[50.0, 55.16304347826087]","[53.46534653465347, 53.22331098504384]","[60.0, 54.34277751973989]","[68.14159292035397, 38.34795634496041]"
mean,"[59.14024522848723, 45.10224566839259]","[49.0211030784805, 59.41097708855509]","[49.91463538985951, 57.491397413734035]","[43.2328811173705, 56.75979244036052]","[63.73974334703098, 44.119634559944934]"
