,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[50.21459227467812, 52.11698690698861]","[53.086419753086425, 56.948085998951235]","[35.9375, 61.4043355325165]","[78.16091954022988, 46.38392857142858]","[61.417322834645674, 43.5907942361538]"
1,"[55.12820512820513, 53.36055810787816]","[46.478873239436616, 63.66427840327533]","[55.10204081632652, 56.272401433691755]","[34.69387755102041, 61.96796338672769]","[62.903225806451616, 47.05051218650653]"
2,"[51.440329218106996, 52.88164665523156]","[51.80722891566265, 60.654008438818565]","[57.14285714285714, 60.36911121903836]","[44.18604651162791, 58.59305431878896]","[73.81546134663341, 37.73988678724285]"
3,"[47.61904761904761, 54.53156822810591]","[43.47826086956522, 60.47812817904374]","[45.88235294117647, 56.76077265973254]","[43.82022471910113, 60.134529147982065]","[60.0, 46.62171555679133]"
4,"[50.678733031674206, 52.036351396836075]","[46.26865671641791, 59.888720283257456]","[45.45454545454545, 55.56081400851869]","[30.555555555555557, 62.86701208981002]","[52.07756232686981, 54.30423334008508]"
5,"[51.00401606425703, 52.98983284508013]","[57.446808510638306, 52.93478260869565]","[56.43564356435643, 57.400722021660656]","[52.38095238095239, 58.894565722248025]","[49.336283185840706, 54.1194093729938]"
mean,"[51.01415388932818, 52.98615735668674]","[49.76104133413452, 59.094667318673665]","[49.325823319877, 57.96135947919308]","[47.299596043081216, 58.14017553949756]","[59.9249759167402, 47.23775857996224]"
