,Jogging,Running,Walking down-stairs,Walking up-stairs,Walking
0,"[50.21459227467812, 52.64410814487333]","[48.148148148148145, 62.29680125852124]","[39.0625, 57.39868049010367]","[48.275862068965516, 53.39285714285714]","[58.53018372703412, 50.65901796080038]"
1,"[49.14529914529914, 55.77675684873235]","[33.80281690140845, 54.55475946775844]","[35.714285714285715, 56.016385048643116]","[34.69387755102041, 55.24027459954234]","[51.382488479262676, 49.191098551748496]"
2,"[54.32098765432099, 53.10463121783876]","[46.98795180722892, 58.333333333333336]","[41.55844155844156, 62.79747450218552]","[44.18604651162791, 64.51469278717721]","[63.591022443890274, 45.87187629435317]"
3,"[45.887445887445885, 61.167684996605566]","[39.130434782608695, 50.71210579857579]","[49.411764705882355, 57.89995047052997]","[38.20224719101123, 61.0762331838565]","[73.65853658536585, 37.08466564715695]"
4,"[62.89592760180995, 45.590710198586336]","[32.83582089552239, 55.69044006069803]","[42.42424242424242, 56.081400851869375]","[26.38888888888889, 57.64248704663213]","[53.18559556786704, 54.46627506582945]"
5,"[43.77510040160642, 56.78097535757367]","[47.87234042553192, 61.08695652173913]","[45.54455445544555, 63.0737493553378]","[43.80952380952381, 58.10496980956804]","[69.91150442477876, 36.99265282830444]"
mean,"[51.03989216086009, 54.17747779403499]","[41.462918826741415, 57.112399406771]","[42.28596480971627, 58.87794011977824]","[39.259407670172955, 58.32858576160556]","[61.70988853803311, 45.710931058032145]"
