9.887926578521728516e-01,9.924223423004150391e-01,9.956632852554321289e-01,3.729403950273990631e-03,9.899877309799194336e-01,5.894018337130546570e-03,7.800388149917125702e-03,4.546493757516145706e-03
9.888789653778076172e-01,9.924759268760681152e-01,9.957041740417480469e-01,3.692551283165812492e-03,9.900467395782470703e-01,5.839899647980928421e-03,7.740019354969263077e-03,4.501020070165395737e-03
9.887786507606506348e-01,9.923912882804870605e-01,9.956478476524353027e-01,3.737956751137971878e-03,9.899464845657348633e-01,5.907634738832712173e-03,7.812181022018194199e-03,4.573364742100238800e-03
9.888844490051269531e-01,9.924792051315307617e-01,9.957066178321838379e-01,3.690320532768964767e-03,9.900512099266052246e-01,5.836542695760726929e-03,7.736244704574346542e-03,4.498315975069999695e-03
9.887484908103942871e-01,9.923731088638305664e-01,9.956345558166503906e-01,3.750062081962823868e-03,9.899226427078247070e-01,5.926072597503662109e-03,7.832586765289306641e-03,4.588339477777481079e-03
9.889345169067382812e-01,9.925067424774169922e-01,9.957289695739746094e-01,3.670279867947101593e-03,9.900907278060913086e-01,5.807722453027963638e-03,7.701125461608171463e-03,4.475147463381290436e-03
9.889768362045288086e-01,9.925091862678527832e-01,9.957486987113952637e-01,3.654505359008908272e-03,9.901173114776611328e-01,5.791393574327230453e-03,7.665559183806180954e-03,4.460604395717382431e-03
9.889228940010070801e-01,9.925006628036499023e-01,9.957231283187866211e-01,3.675069427117705345e-03,9.900803565979003906e-01,5.813506897538900375e-03,7.710204459726810455e-03,4.480665549635887146e-03
9.889627099037170410e-01,9.925194382667541504e-01,9.957399368286132812e-01,3.659773385152220726e-03,9.901100397109985352e-01,5.791626870632171631e-03,7.682527881115674973e-03,4.464495927095413208e-03
9.889524579048156738e-01,9.924854636192321777e-01,9.957274794578552246e-01,3.667832585051655769e-03,9.900869727134704590e-01,5.806164350360631943e-03,7.689081132411956787e-03,4.489304963499307632e-03
9.890383481979370117e-01,9.925432205200195312e-01,9.957739710807800293e-01,3.630199236795306206e-03,9.901598691940307617e-01,5.752872209995985031e-03,7.626000791788101196e-03,4.433182068169116974e-03
9.890399575233459473e-01,9.925449490547180176e-01,9.957746863365173340e-01,3.629471408203244209e-03,9.901613593101501465e-01,5.751478951424360275e-03,7.625156547874212265e-03,4.432170186191797256e-03
9.890086054801940918e-01,9.925219416618347168e-01,9.957615137100219727e-01,3.642660798504948616e-03,9.901378750801086426e-01,5.774371325969696045e-03,7.643757853657007217e-03,4.448012448847293854e-03
