99,86;91,68;94,53;99,74;49,99;95,47;99,84;84,36;96,53;95,88;96,27;92,68;49,99;99,81;99,19;99,6;99,83;74,49
;;;;;;;;;;;;;;;;;
Mean;89,98555556;;;;;;;;;;;;;;;;
Std.dev;15,92137824;;;;;;;;;;;;;;;;
